Unnamed: 0,smiles,logP,sdf_filename,y_category,f_group
91,FC1CNCC1,0.91,CDDGNGVFPQRJJM-UHFFFAOYSA-N_confors.sdf,"(0.863, 1.465]",CHF
122,[H]C([H])(F)C1NCC1,1.4,FJEHOKRORRMMCC-UHFFFAOYSA-N_confors.sdf,"(0.863, 1.465]",CH2F
80,FC1(F)C2CNCC1COC2,1.19,ZGGHCXRVEDILOZ-UHFFFAOYSA-N_confors.sdf,"(0.863, 1.465]",gem-CF2
162,NC1CC1,1.29,HTJDQJBWANPRPF-UHFFFAOYSA-N_confors.sdf,"(0.863, 1.465]",non-F
78,FC1(F)C2CNCC1CCC2,2.18,NGVPSBONRJASED-UHFFFAOYSA-N_confors.sdf,"(2.067, 2.668]",gem-CF2
57,NC1CCC(F)(F)CC1,2.31,MQOFXVWAFFJFJH-UHFFFAOYSA-N_confors.sdf,"(2.067, 2.668]",gem-CF2
52,OC(C1C2(CC2)C1)=O,2.35,WAHIIXTYAWFIFE-UHFFFAOYSA-N_confors.sdf,"(2.067, 2.668]",non-F
47,FC(F)([H])[C@@H]1C[C@@H]1C(O)=O,2.35,AQPYFAYLGMEWCD-GBXIJSLDSA-N_confors.sdf,"(2.067, 2.668]",CHF2
98,F[C@@H]1CNC[C@@H](F)C1,1.35,FXAZVBOIOYBLII-WHFBIAKZSA-N_confors.sdf,"(0.863, 1.465]",CHF
92,FC1(F)CNCC1,1.35,KVTUSMPNLUCCQO-UHFFFAOYSA-N_confors.sdf,"(0.863, 1.465]",gem-CF2
180,NC1C2(CC2)C1,2.08,TYUSITBZTFHUJR-UHFFFAOYSA-N_confors.sdf,"(2.067, 2.668]",non-F
58,NC1CCCCC1,2.72,PAFZNILMFXTMIY-UHFFFAOYSA-N_confors.sdf,"(2.668, 3.27]",non-F
68,FC(F)(F)C1CCCCN1,2.54,NAXDEFXCCITWEU-UHFFFAOYSA-N_confors.sdf,"(2.067, 2.668]",CF3
174,N[C@H]1[C@H](C(F)([H])F)C1,1.64,GAIGMFMTIOWSIT-PWNYCUMCSA-N_confors.sdf,"(1.465, 2.067]",CHF2
108,N[C@@H]1C[C@@H](C(F)(F)[H])C1,1.97,VJFAMWLVDBNHLQ-JPYJGEKTSA-N_confors.sdf,"(1.465, 2.067]",CHF2
124,NCC(F)(F)F,1.76,KIPSRYDSZQRPEA-UHFFFAOYSA-N_confors.sdf,"(1.465, 2.067]",CF3
53,OC(C1C2(CC2)C1(F)F)=O,2.42,XVFUXEFIBLXNBX-UHFFFAOYSA-N_confors.sdf,"(2.067, 2.668]",gem-CF2
56,N[C@H]1C[C@H]2C(F)(F)[C@H]2C1,2.47,SZCZPSZRXWBDBG-ZXFHETKHSA-N_confors.sdf,"(2.067, 2.668]",gem-CF2
150,FC1(F)CC(N)C1,1.94,RKATWUBDSJHPEV-UHFFFAOYSA-N_confors.sdf,"(1.465, 2.067]",gem-CF2
11,FC(F)(F)[C@H]1C[C@@H](C(O)=O)C1,2.72,ZSULKAPJHICPKB-ZXZARUISSA-N_confors.sdf,"(2.668, 3.27]",CF3
148,NC1CC1(F)F,1.51,ZZZWPZNCTRVYMD-UHFFFAOYSA-N_confors.sdf,"(1.465, 2.067]",gem-CF2
67,FC(F)(F)C12CCC(CC2)CN1,2.51,IFWCLAGZRWVYOR-UHFFFAOYSA-N_confors.sdf,"(2.067, 2.668]",CF3
81,C1(COC2)CC2CNC1,0.84,DTGDMYHJFTVULL-UHFFFAOYSA-N_confors.sdf,"(0.262, 0.863]",non-F
76,FC1(F)CC2CC(C1)CNC2,1.59,GFZAHDYPNLBJJM-UHFFFAOYSA-N_confors.sdf,"(1.465, 2.067]",gem-CF2
147,NCCC,1.72,WGYKZJWCGVVSQN-UHFFFAOYSA-N_confors.sdf,"(1.465, 2.067]",non-F
151,FC1(F)C(N)CCC1,1.87,JBXAZJIGJLDLEM-UHFFFAOYSA-N_confors.sdf,"(1.465, 2.067]",gem-CF2
88,FC1CNC1,0.94,WQYAZBFZFIUIPL-UHFFFAOYSA-N_confors.sdf,"(0.863, 1.465]",CHF
54,OC(C1C2(CC2(F)F)C1)=O,2.66,MMJXHXTZGUTWNW-UHFFFAOYSA-N_confors.sdf,"(2.067, 2.668]",gem-CF2
77,FC1(F)C2CNCC1CC(F)(F)C2,1.84,FSKJAUJWSJOFOG-UHFFFAOYSA-N_confors.sdf,"(1.465, 2.067]",gem-CF2
115,C1CNCCC1,1.39,NQRYJNQNLNOLGT-UHFFFAOYSA-N_confors.sdf,"(0.863, 1.465]",non-F
87,C1CCN1,1.13,HONIICLYMWZJFZ-UHFFFAOYSA-N_confors.sdf,"(0.863, 1.465]",non-F
175,N[C@@H]1[C@H](C(F)([H])F)C1,1.36,GAIGMFMTIOWSIT-GBXIJSLDSA-N_confors.sdf,"(0.863, 1.465]",CHF2
7,O=C(O)C1(CF)CCC1,1.88,AGPYMWSEOIOIPD-UHFFFAOYSA-N_confors.sdf,"(1.465, 2.067]",CH2F
132,FC([H])(F)C1CNCC1,1.4,UZOUSFRKYIBWJB-UHFFFAOYSA-N_confors.sdf,"(0.863, 1.465]",CHF2
