Unnamed: 0,smiles,pKa,Amine_or_acid,sdf_filename,y_category,f_group
112,FC([H])(F)C1NCCCC1,7.99,Amine,NKADUAIXXKJUDE-UHFFFAOYSA-N_confors.sdf,"(7.524, 8.155]",CHF2
146,NCCC,10.03,Amine,WGYKZJWCGVVSQN-UHFFFAOYSA-N_confors.sdf,"(9.417, 10.048]",non-F
57,NC1CCCCC1,10.58,Amine,PAFZNILMFXTMIY-UHFFFAOYSA-N_confors.sdf,"(10.048, 10.679]",non-F
129,FC([H])([H])C1CNCCC1,10.32,Amine,XCFQIKQVRXAIEX-UHFFFAOYSA-N_confors.sdf,"(10.048, 10.679]",CH2F
158,CC(F)(F)CCN,9.57,Amine,INUCXBIYHAIRNX-UHFFFAOYSA-N_confors.sdf,"(9.417, 10.048]",gem-CF2
126,NC,10.78,Amine,BAVYZALUXZFZLV-UHFFFAOYSA-N_confors.sdf,"(10.679, 11.31]",non-F
176,NC1C2(CC2)C1,9.41,Amine,TYUSITBZTFHUJR-UHFFFAOYSA-N_confors.sdf,"(8.786, 9.417]",non-F
147,FC1(F)CCC1N,7.2,Amine,UHJMTZCOQFSWEC-UHFFFAOYSA-N_confors.sdf,"(6.893, 7.524]",gem-CF2
91,FC1(F)CNCC1,6.88,Amine,KVTUSMPNLUCCQO-UHFFFAOYSA-N_confors.sdf,"(6.262, 6.893]",gem-CF2
54,N[C@@H]1C[C@H]2C(F)(F)[C@H]2C1,8.89,Amine,SZCZPSZRXWBDBG-ZGQXEFDQSA-N_confors.sdf,"(8.786, 9.417]",gem-CF2
87,FC1CNC1,8.55,Amine,WQYAZBFZFIUIPL-UHFFFAOYSA-N_confors.sdf,"(8.155, 8.786]",CHF
94,FC1CNCCC1,8.64,Amine,YUKQZLBLVRAJSW-UHFFFAOYSA-N_confors.sdf,"(8.155, 8.786]",CHF
122,C1NCC1,11.29,Amine,HONIICLYMWZJFZ-UHFFFAOYSA-N_confors.sdf,"(10.679, 11.31]",non-F
71,C1CCNCC1,11.12,Amine,NQRYJNQNLNOLGT-UHFFFAOYSA-N_confors.sdf,"(10.679, 11.31]",non-F
177,NC1C2(C(F)(F)C2)C1,7.44,Amine,NQRQGOPQRXFXSA-UHFFFAOYSA-N_confors.sdf,"(6.893, 7.524]",gem-CF2
134,FC([H])(F)C1CNC1,9.57,Amine,IMROEAZUSMCUNE-UHFFFAOYSA-N_confors.sdf,"(9.417, 10.048]",CHF2
92,F[C@H]1CNC[C@H]1F,7.07,Amine,PHFTVEADDMICLE-ZXZARUISSA-N_confors.sdf,"(6.893, 7.524]",CHF
171,N[C@@H]1[C@H](C(F)(F)F)C1,6.92,Amine,UDWSAEWNKJDWHU-GBXIJSLDSA-N_confors.sdf,"(6.893, 7.524]",CF3
151,FC1(F)C(N)CCCC1,7.45,Amine,KATJLSLKDKAWTG-UHFFFAOYSA-N_confors.sdf,"(6.893, 7.524]",gem-CF2
69,CC12CCC(CC2)CN1,11.27,Amine,QOQFIGTUFLXDFE-UHFFFAOYSA-N_confors.sdf,"(10.679, 11.31]",non-F
68,C12CCC(C2)CN1,10.42,Amine,GYLMCBOAXJVARF-UHFFFAOYSA-N_confors.sdf,"(10.048, 10.679]",non-F
98,FC1CCNCC1,9.05,Amine,QBLLOOKBLTTXHB-UHFFFAOYSA-N_confors.sdf,"(8.786, 9.417]",CHF
101,NC1(C(F)(F)F)CCC1,5.0,Amine,UYHQDFQKVUGCAQ-UHFFFAOYSA-N_confors.sdf,"(4.994, 5.631]",CF3
72,FC(F)(F)C12CCCC(C2)CN1,5.96,Amine,YSTGVVKRPDLFKS-UHFFFAOYSA-N_confors.sdf,"(5.631, 6.262]",CF3
88,FC1(F)CNC1,6.44,Amine,QUHVRXKSQHIZNV-UHFFFAOYSA-N_confors.sdf,"(6.262, 6.893]",gem-CF2
90,FC1CNCC1,8.87,Amine,CDDGNGVFPQRJJM-UHFFFAOYSA-N_confors.sdf,"(8.786, 9.417]",CHF
172,N[C@H]1[C@H](C(F)([H])F)C1,7.76,Amine,GAIGMFMTIOWSIT-PWNYCUMCSA-N_confors.sdf,"(7.524, 8.155]",CHF2
144,NCCCC(F)(F)[H],10.04,Amine,UREOFAQFBIQBEZ-UHFFFAOYSA-N_confors.sdf,"(9.417, 10.048]",CHF2
99,F[C@H]1[C@@H](F)CNCC1,7.01,Amine,BQWQIGWFVSNAHY-UHNVWZDZSA-N_confors.sdf,"(6.893, 7.524]",CHF
55,N[C@H]1C[C@H]2C(F)(F)[C@H]2C1,8.95,Amine,SZCZPSZRXWBDBG-ZXFHETKHSA-N_confors.sdf,"(8.786, 9.417]",gem-CF2
165,NC(C1)CC21CC(F)C2,9.81,Amine,LVSVZDQMCAZVSW-UHFFFAOYSA-N_confors.sdf,"(9.417, 10.048]",CHF
159,NCCCC(F)F,10.01,Amine,UREOFAQFBIQBEZ-UHFFFAOYSA-N_confors.sdf,"(9.417, 10.048]",CHF2
77,FC1(F)C2CNCC1CCC2,7.72,Amine,NGVPSBONRJASED-UHFFFAOYSA-N_confors.sdf,"(7.524, 8.155]",gem-CF2
113,[H]C([H])(F)C1NCCCC1,9.52,Amine,VMMNQROZBNSKSB-UHFFFAOYSA-N_confors.sdf,"(9.417, 10.048]",CH2F
58,N[C@H]1C[C@H]2C[C@H]2C1,9.79,Amine,HAEHSFVDBQNHOX-FMCRUOTFSA-N_confors.sdf,"(9.417, 10.048]",non-F
170,N[C@H]1[C@H](C(F)(F)F)C1,7.18,Amine,UDWSAEWNKJDWHU-PWNYCUMCSA-N_confors.sdf,"(6.893, 7.524]",CF3
107,N[C@@H]1C[C@@H](C(F)(F)[H])C1,9.17,Amine,VJFAMWLVDBNHLQ-JPYJGEKTSA-N_confors.sdf,"(8.786, 9.417]",CHF2
74,CC12CCCC(C2)CN1,10.99,Amine,GKCQLNYFRZQACN-UHFFFAOYSA-N_confors.sdf,"(10.679, 11.31]",non-F
132,FC([H])([H])C1CNCC1,10.38,Amine,AEHIVNSTDRLJBL-UHFFFAOYSA-N_confors.sdf,"(10.048, 10.679]",CH2F
63,C1CCCN1,11.29,Amine,RWRDLPDLKQPQOW-UHFFFAOYSA-N_confors.sdf,"(10.679, 11.31]",non-F
60,FC(F)(C1(NC2)CC2C1)F,6.52,Amine,GNFBNFXKMACPCP-UHFFFAOYSA-N_confors.sdf,"(6.262, 6.893]",CF3
145,NCCCC(F)(F)F,9.74,Amine,LAXWLCVPJLBABV-UHFFFAOYSA-N_confors.sdf,"(9.417, 10.048]",CF3
75,FC1(F)CC2CC(C1)CNC2,9.41,Amine,GFZAHDYPNLBJJM-UHFFFAOYSA-N_confors.sdf,"(8.786, 9.417]",gem-CF2
89,C1NCCC1,11.21,Amine,RWRDLPDLKQPQOW-UHFFFAOYSA-N_confors.sdf,"(10.679, 11.31]",non-F
