,dipole_moment,FPSA3,nHRing,avg_atoms_in_cycle,PNSA5,nN,nF,nFRing,tpsa+f,f_freedom,f_atom_fraction,mol_num_cycles,nO,nFAHRing,distance_between_atoms_in_f_group_centers,nC,PBF,nAHRing,mol_volume,nFaRing,f_to_fg,GeomShapeIndex,cis/trans,PPSA5,nFHRing,nFaHRing,RPCS,naRing,nFARing,naHRing,chirality,nARing,TASA,fold_id,logP
4,2.665941363820697,0.0451859207676332,0,3.0,-29.793930518103025,0,2,1,71.31501602232542,0,0.2857142857142857,2,2,0,1.858447673201752,7,0.7964923245058986,0,132.52,0,2.0,0.8004850388878918,1,14.92007473347024,0,0,20.595645569371552,0,1,0,3,2,137.36441803106385,0,2.37
5,7.41350541419269e-14,0.0450266280175609,0,3.0,-30.891759065232336,0,2,1,71.54379598500583,0,0.2857142857142857,2,2,0,2.120074933236484,7,0.6888651599721769,0,132.44,0,2.0,0.8798207937895168,2,14.721238775781188,0,0,21.43438226676678,0,1,0,3,2,132.84022962466886,1,2.88
10,1.7973853254666103,0.0385267254074045,0,4.0,-35.97156180758108,0,3,0,86.83899789270555,0,0.5,1,2,0,5.055790872560269,6,0.6540065210074811,0,130.94,0,2.0,0.6229457006751816,2,14.005185797441891,0,0,0.4716831759309227,0,0,0,0,1,213.6383729604581,0,3.02
11,2.5913113854744343,0.0401965472906642,0,4.0,-35.65114514201758,0,3,0,86.94731827513812,0,0.5,1,2,0,1.498352188301075,6,0.658894080991424,0,130.94,0,2.0,0.8575613232397992,1,14.741419717272937,0,0,0.1572277253103075,0,0,0,0,1,212.6672017056574,0,2.72
12,2.0096141714691997,0.048722222343033,0,4.0,-32.42283291856772,0,2,0,69.89459512901678,1,0.3333333333333333,1,2,0,1.606435986917827,6,0.6969982506556,0,124.89,0,2.0,0.6982012865406237,2,14.455130491128031,0,0,22.354959514561923,0,0,0,0,1,124.20217726081256,0,2.39
13,2.339098742547618,0.0468370215273792,0,4.0,-33.836905028895885,0,2,0,69.30100841493486,1,0.3333333333333333,1,2,0,1.3128742658120576,6,0.6085284906583982,0,125.1,0,2.0,0.7472505352559793,1,14.444846405010235,0,0,24.2335275409957,0,0,0,0,1,119.61213340278243,1,2.23
14,2.666525721598124e-13,0.0500896185403708,0,4.0,-23.14241982800826,0,1,0,53.9634923411824,1,0.1666666666666666,1,2,0,1.9698414253271987,6,0.7566788021710624,0,120.02,0,2.0,0.7369852285984115,2,14.7434613912726,0,0,18.81293691908742,0,0,0,0,1,151.95387106950585,0,2.14
15,1.037416537477455e-13,0.0501258735177767,0,4.0,-23.550265972435845,0,1,0,53.94977708507511,1,0.1666666666666666,1,2,0,1.3724615056509162,6,0.7100627643370322,0,120.08,0,2.0,0.7497014588675519,1,14.836270197587274,0,0,19.88092023763824,0,0,0,0,1,150.96746505690336,0,1.96
18,8.18325690064733e-14,0.0461761377018303,0,4.0,-43.76280965929365,0,2,0,71.6175609675466,0,0.4,1,2,0,1.1554117616860813,5,0.5903829288016096,0,109.54,0,1.0,0.8832496313749941,0,13.476809361081507,0,0,21.30655302947471,0,0,0,0,1,96.52223860826808,0,2.26
19,1.0226962077771606e-13,0.0425811859490791,0,5.0,-29.050345611389066,0,2,0,69.52368806229495,0,0.3333333333333333,1,2,0,1.2719356012917198,6,0.7594846882172082,0,123.51,0,2.0,0.7432703191313329,0,15.180190460346552,0,0,18.911509222439424,0,0,0,0,1,135.55657649332557,1,2.25
20,2.5861107705277362e-14,0.0439471474020902,0,5.0,-35.99139820379941,0,2,0,69.95463158875981,0,0.3333333333333333,1,2,0,1.8275760561371728,6,0.6110579242547812,0,123.45,0,2.0,0.9212469923616556,0,13.206248345831114,0,0,23.959083180570563,0,0,0,0,1,120.1292670855177,0,2.5
21,0.4458084892907972,0.0433647072309179,0,6.0,-24.95173561988011,0,2,0,69.87951681258363,0,0.2857142857142857,1,2,0,2.451301464360601,7,0.6207785552918198,0,138.74,0,2.0,0.8567741221390269,0,15.919944567693657,0,0,23.50671740750368,0,0,0,0,1,158.31308881860684,0,2.5
