,dihedral_angle_-C(=O)O,nN,dihedral_angle_CHF2,nO,nAHRing,dihedral_angle_-N,avg_atoms_in_cycle,nFRing,tpsa+f,amount_of_-O,amount_of_CH2F,naRing,PNSA5,nC,RPCS,mol_num_cycles,dihedral_angle_CF3,PBF,nHRing,amount_of_-C(=O)O,nFaRing,dihedral_angle_-O,dihedral_angle_gem-CF2,FPSA3,dihedral_angle_CH2F,amount_of_CHF,mol_volume,amount_of_=O,dihedral_angle_CHF,PPSA5,f_freedom,dihedral_angle_=O,nFAHRing,amount_of_CF3,TASA,nFaHRing,naHRing,chirality,nFHRing,amount_of_-N,nARing,amount_of_CHF2,nFARing,f_atom_fraction,dihedral_angle_non-F,GeomShapeIndex,f_to_fg,dipole_moment,linear_distance,amount_of_gem-CF2,cis/trans,fold_id,logP
1,3.141505535533642,0,0.0,2,0,0.0,6.0,0,37.3,1,0,0,-13.67650885498967,7,16.72072983778262,1,0.0,0.5807023453619089,0,1,0,2.4899603467143607,0.0,0.0464530009514433,0.0,0,128.86,1,0.0,13.888097806258338,1,0,0,0,201.0448698508611,0,0,0,0,0,1,0,0,0.0,0,0.8478666217071501,0.0,0,3.0,0,0,0,2.88
2,-1.0381545116487485,0,0.0,2,0,0.0,3.0,1,37.3,1,0,0,-13.789063102038476,7,15.19776352121602,2,0.0,0.8125037251509408,0,1,0,2.695191615685702,0.0,0.0470225025317011,0.0,0,122.04,1,0.0,14.422664217950029,1,0,0,0,196.99423106010576,0,0,3,0,0,2,0,1,0.0,0,0.7124144704595539,0.0,0,2.91,0,2,1,2.87
3,3.141540467386015,0,0.0,2,0,0.0,3.0,1,37.3,1,0,0,-14.420449795431498,7,17.778515817271572,2,0.0,0.6311312957986083,0,1,0,-2.658383835136481,0.0,0.0476128489000869,0.0,0,122.34,1,0.0,14.472009242508014,1,0,0,0,195.3931004192692,0,0,3,0,0,2,0,1,0.0,0,0.8294732222987803,0.0,0,2.98,0,1,0,2.92
4,3.14155965447262,0,0.0,2,0,0.0,3.0,1,39.3,1,0,0,-29.793930518103025,7,20.595645569371552,2,0.0,0.7964923245058986,0,1,0,2.81633388971396,-0.2417991379457901,0.0451859207676332,0.0,0,132.52,1,0.0,14.92007473347024,0,0,0,0,137.36441803106385,0,0,3,0,0,2,0,1,0.2857142857142857,0,0.8004850388878918,2.0,0,2.98,2,1,0,2.37
5,-3.1415814484840845,0,0.0,2,0,0.0,3.0,1,39.3,1,0,0,-30.891759065232336,7,21.43438226676678,2,0.0,0.6888651599721769,0,1,0,-3.106820134724435,-0.3230803429484707,0.0450266280175609,0.0,0,132.44,1,0.0,14.721238775781188,0,0,0,0,132.84022962466886,0,0,3,0,0,2,0,1,0.2857142857142857,0,0.8798207937895168,2.0,0,3.01,2,2,0,2.88
6,-6.894852053957638e-06,0,0.0,2,0,0.0,4.0,0,37.3,1,0,0,-17.451691745402464,5,15.75301298750428,1,0.0,0.7016151882984124,0,1,0,0.5325103696608677,0.0,0.051031935789697,0.0,0,97.78,1,0.0,13.637049631458243,1,0,0,0,161.86023699331497,0,0,0,0,0,1,0,0,0.0,0,0.6663346346635648,0.0,0,2.61,0,0,1,2.26
7,2.0858579268429494,0,0.0,2,0,0.0,4.0,0,38.3,1,1,0,-23.565672771545703,6,9.852651933957173,1,0.0,0.7914635855727886,0,1,0,-0.1362476737704978,0.0,0.0464656204985072,3.141566726128255,0,119.68,1,0.0,14.533090158481006,1,0,0,0,160.0972577919836,0,0,0,0,0,1,0,0,0.1666666666666666,0,0.7681413255079723,1.0,0,2.83,0,0,0,1.88
8,2.094611683617512,0,1.047232799896583,2,0,0.0,4.0,0,39.3,1,0,0,-27.809313509685875,6,7.774418116543112,1,0.0,0.8125898153874634,0,1,0,0.6573317330455928,0.0,0.0433798439352485,0.0,0,124.94,1,0.0,16.052588504511426,1,0,0,0,139.05925564526103,0,0,0,0,0,1,1,0,0.3333333333333333,0,0.6778624096432074,1.0,0,2.84,0,0,0,2.19
9,2.094241369483799,0,0.0,2,0,0.0,4.0,0,40.3,1,0,0,-30.412560021121227,6,0.7873815420224571,1,1.0472055614627007,0.7973793418068543,0,1,0,-0.4791657458026193,0.0,0.03581643481686,0.0,0,130.12,1,0.0,15.967207934441143,0,0,0,1,212.04828115840883,0,0,0,0,0,1,0,0,0.5,0,0.767759046938773,1.0,-1,2.87,0,0,0,2.51
10,1.0469513198218106,0,0.0,2,0,0.0,4.0,0,40.3,1,0,0,-35.97156180758108,6,0.4716831759309227,1,-1.0471543620596608,0.6540065210074811,0,1,0,-2.832206407223417,0.0,0.0385267254074045,0.0,0,130.94,1,0.0,14.005185797441891,0,0,0,1,213.6383729604581,0,0,0,0,0,1,0,0,0.5,0,0.6229457006751816,2.0,-1,2.95,0,2,1,3.02
