,smiles,pKa,Amine_or_acid,sdf_filename,y_category
16,FC1(F)CC1C(O)=O,3.25,Acid,KMLMOVWSQPHQME-UHFFFAOYSA-N_confors.sdf,"(2.878, 3.32]"
9,O=C(O)C1(C(F)(F)F)CCC1,2.9,Acid,HYRCPSRIIWIESW-UHFFFAOYSA-N_confors.sdf,"(2.878, 3.32]"
2,OC([C@@H]1C[C@H]2C[C@H]2C1)=O,4.35,Acid,IEEUSWYDXDXBNK-FPFOFBBKSA-N_confors.sdf,"(4.2, 4.64]"
46,FC(F)([H])[C@@H]1C[C@H]1C(O)=O,4.18,Acid,AQPYFAYLGMEWCD-PWNYCUMCSA-N_confors.sdf,"(3.76, 4.2]"
24,FC1(F)CC(C(O)=O)CCCC1,4.09,Acid,WLRRFULNEPZPCB-UHFFFAOYSA-N_confors.sdf,"(3.76, 4.2]"
32,OC(C1CCCCCC1)=O,5.08,Acid,VZFUCHSFHOYXIS-UHFFFAOYSA-N_confors.sdf,"(4.64, 5.08]"
53,OC(C1C2(CC2(F)F)C1)=O,3.85,Acid,MMJXHXTZGUTWNW-UHFFFAOYSA-N_confors.sdf,"(3.76, 4.2]"
40,OC(C1=CC=CC=C1)=O,4.2,Acid,WPYMKLBDIGXBTP-UHFFFAOYSA-N_confors.sdf,"(3.76, 4.2]"
39,OC(C12OCC(C2)C1)=O,3.59,Acid,RHJXUKZPHJCBLA-UHFFFAOYSA-N_confors.sdf,"(3.32, 3.76]"
0,FC1(F)CCC(C(O)=O)CC1,4.32,Acid,HYIUDFLDFSIXTR-UHFFFAOYSA-N_confors.sdf,"(4.2, 4.64]"
33,CCCCC(O)=O,4.75,Acid,NQPDZGIKBAWPEJ-UHFFFAOYSA-N_confors.sdf,"(4.64, 5.08]"
41,FC(F)(F)[C@@H]1CC[C@H]1C(O)=O,3.87,Acid,SDOPWTZUKAGTRM-QWWZWVQMSA-N_confors.sdf,"(3.76, 4.2]"
3,OC([C@H]1C[C@H]2C[C@H]2C1)=O,4.24,Acid,IEEUSWYDXDXBNK-FMCRUOTFSA-N_confors.sdf,"(4.2, 4.64]"
28,OC(CCCC(F)F)=O,4.38,Acid,PNKPJTJUUYPYGY-UHFFFAOYSA-N_confors.sdf,"(4.2, 4.64]"
21,FC1(F)C(C(O)=O)CCCC1,3.81,Acid,PBKMJGYFCYLGLD-UHFFFAOYSA-N_confors.sdf,"(3.76, 4.2]"
20,FC1(F)CC(C(O)=O)CC1,3.98,Acid,DXLZFZGHXIZHFB-UHFFFAOYSA-N_confors.sdf,"(3.76, 4.2]"
30,OC(C1CCC1)=O,4.5,Acid,TXWOGHSRPAYOML-UHFFFAOYSA-N_confors.sdf,"(4.2, 4.64]"
10,FC(F)(F)[C@@H]1C[C@@H](C(O)=O)C1,3.83,Acid,ZSULKAPJHICPKB-JPYJGEKTSA-N_confors.sdf,"(3.76, 4.2]"
13,[H]C(F)(F)[C@H]1C[C@@H](C(O)=O)C1,3.92,Acid,XRSUGPIWOGKMJP-ZXZARUISSA-N_confors.sdf,"(3.76, 4.2]"
