,fold_id,logP,Smiles
1,0,2.88,O=C(NC1=CC=CC=C1)C1CCCCC1
2,1,2.87,O=C(NC1=CC=CC=C1)[C@H]1C[C@@H]2C[C@@H]2C1
3,1,2.92,O=C(NC1=CC=CC=C1)[C@@H]1C[C@@H]2C[C@@H]2C1
4,0,2.37,FC1(F)[C@H]2C[C@H](C[C@@H]12)C(=O)NC1=CC=CC=C1
5,0,2.88,FC1(F)[C@H]2C[C@@H](C[C@@H]12)C(=O)NC1=CC=CC=C1
6,0,2.26,O=C(NC1=CC=CC=C1)C1CCC1
7,0,1.88,FCC1(CCC1)C(=O)NC1=CC=CC=C1
8,0,2.19,FC(F)C1(CCC1)C(=O)NC1=CC=CC=C1
9,0,2.51,FC(F)(F)C1(CCC1)C(=O)NC1=CC=CC=C1
10,1,3.02,FC(F)(F)[C@H]1C[C@@H](C1)C(=O)NC1=CC=CC=C1
11,1,2.72,FC(F)(F)[C@@H]1C[C@@H](C1)C(=O)NC1=CC=CC=C1
12,1,2.39,[H]C(F)(F)[C@H]1C[C@@H](C1)C(=O)NC1=CC=CC=C1
13,1,2.23,[H]C(F)(F)[C@@H]1C[C@@H](C1)C(=O)NC1=CC=CC=C1
14,0,2.14,[H]C([H])(F)[C@H]1C[C@@H](C1)C(=O)NC1=CC=CC=C1
15,0,1.96,[H]C([H])(F)[C@@H]1C[C@@H](C1)C(=O)NC1=CC=CC=C1
18,0,2.26,FC1(F)CC(C1)C(=O)NC1=CC=CC=C1
19,1,2.25,FC1(F)CCCC1C(=O)NC1=CC=CC=C1
20,1,2.5,FC1(F)CCC(C1)C(=O)NC1=CC=CC=C1
21,1,2.5,FC1(F)CCCCC1C(=O)NC1=CC=CC=C1
23,1,2.9,FC1(F)CCCCCC1C(=O)NC1=CC=CC=C1
24,1,3.03,FC1(F)CCCCC(C1)C(=O)NC1=CC=CC=C1
25,0,2.95,FC1(F)CCCC(CC1)C(=O)NC1=CC=CC=C1
26,1,2.26,CCC(F)(F)CC(=O)NC1=CC=CC=C1
28,1,2.06,FC(F)CCCC(=O)NC1=CC=CC=C1
29,0,1.92,O=C(NC1=CC=CC=C1)C1CC1
30,0,2.26,O=C(NC1=CC=CC=C1)C1CCC1
31,0,2.68,O=C(NC1=CC=CC=C1)C1CCCC1
32,0,3.24,O=C(NC1=CC=CC=C1)C1CCCCCC1
33,0,2.29,CCCCC(=O)NC1=CC=CC=C1
37,1,2.05,FC(F)(F)C12CC(C1)(OC2)C(=O)NC1=CC=CC=C1
39,1,1.54,O=C(NC1=CC=CC=C1)C12CC(C1)CO2
40,0,2.49,O=C(NC1=CC=CC=C1)C1=CC=CC=C1
41,1,2.88,FC(F)(F)[C@@H]1CC[C@H]1C(=O)NC1=CC=CC=C1
42,1,2.22,[H]C(F)(F)[C@@H]1CC[C@H]1C(=O)NC1=CC=CC=C1
43,0,2.11,[H]C([H])(F)[C@@H]1CC[C@H]1C(=O)NC1=CC=CC=C1
44,0,2.98,FC(F)(F)[C@@H]1C[C@H]1C(=O)NC1=CC=CC=C1
45,0,2.12,FC(F)(F)[C@@H]1C[C@@H]1C(=O)NC1=CC=CC=C1
46,0,2.28,[H]C(F)(F)[C@@H]1C[C@H]1C(=O)NC1=CC=CC=C1
47,1,2.35,[H]C(F)(F)[C@@H]1C[C@@H]1C(=O)NC1=CC=CC=C1
48,0,1.12,[H]C([H])(F)[C@@H]1C[C@H]1C(=O)NC1=CC=CC=C1
52,0,2.35,O=C(NC1=CC=CC=C1)C1CC11CC1
53,0,2.42,FC1(F)C(C(=O)NC2=CC=CC=C2)C11CC1
54,1,2.66,FC1(F)CC11CC1C(=O)NC1=CC=CC=C1
56,1,2.47,FC1(F)[C@H]2C[C@H](C[C@@H]12)NC(=O)C1=CC=CC=C1
57,0,2.31,FC1(F)CCC(CC1)NC(=O)C1=CC=CC=C1
58,0,2.72,O=C(NC1CCCCC1)C1=CC=CC=C1
59,0,2.3,O=C(N[C@@H]1C[C@@H]2C[C@@H]2C1)C1=CC=CC=C1
60,0,2.19,O=C(N[C@H]1C[C@@H]2C[C@@H]2C1)C1=CC=CC=C1
61,1,1.93,FC(F)(F)C12CC(C1)CN2C(=O)C1=CC=CC=C1
62,1,2.12,FC(F)(F)C1CCCN1C(=O)C1=CC=CC=C1
