,params,cv_0_loss,cv_0_best_epoch,cv_0_run_name,cv_0_r^2,cv_0_mse,cv_0_mae,cv_1_loss,cv_1_best_epoch,cv_1_run_name,cv_1_r^2,cv_1_mse,cv_1_mae
0,"{'lr': 9.268282582508134e-05, 'train_type': 'predictor_and_readout', 'weight_decay': 0.019914753639599932}",0.09410989284515381,69,abc,0.686,0.094,0.259,0.1412954032421112,199,abc,0.579,0.141,0.296
1,"{'lr': 0.0018551787580628257, 'train_type': 'all_layers', 'weight_decay': 0.10518868899684838}",0.20577293634414673,5,abc,0.313,0.206,0.371,0.2803182005882263,10,abc,0.166,0.28,0.424
2,"{'lr': 0.00012405931484946208, 'train_type': 'all_layers', 'weight_decay': 0.04296699870941458}",0.10989376157522202,66,abc,0.633,0.11,0.271,0.1683238446712494,199,abc,0.499,0.168,0.325
3,"{'lr': 0.0024324769284310922, 'train_type': 'all_layers', 'weight_decay': 0.00591915462855999}",0.24547439813613892,3,abc,0.18,0.245,0.407,0.356784850358963,3,abc,-0.062,0.357,0.48
4,"{'lr': 0.00023860871587956466, 'train_type': 'predictor_and_readout', 'weight_decay': 9.193595481915895e-05}",0.05889131501317024,197,abc,0.803,0.059,0.191,0.06670606136322021,199,abc,0.801,0.067,0.192
5,"{'lr': 0.026115553073748327, 'train_type': 'predictor_and_readout', 'weight_decay': 0.06182794583653114}",139583520.0,0,abc,-466135408.294,139583519.85,11334.655,415628160.0,0,abc,-1237048983.195,415628145.815,20071.848
6,"{'lr': 0.047736383739479624, 'train_type': 'predictor_and_readout', 'weight_decay': 0.006085158653325279}",732490956800.0,0,abc,-2446133760302.416,732490931777.293,846976.628,110.84761047363281,23,abc,-328.92,110.848,10.395
7,"{'lr': 0.007253861338978457, 'train_type': 'predictor_and_readout', 'weight_decay': 4.938217777745778e-05}",36.86433792114258,0,abc,-122.107,36.864,5.935,1.2826488018035889,1,abc,-2.818,1.283,0.93
8,"{'lr': 0.04479788145561455, 'train_type': 'predictor_and_readout', 'weight_decay': 0.1348344962060398}",1073933056.0,0,abc,-3586370662.91,1073933090.634,26683.301,351231904.0,0,abc,-1045384159.503,351231912.273,17735.242
9,"{'lr': 0.030791226816694425, 'train_type': 'predictor_and_readout', 'weight_decay': 0.0017192803652607328}",10458810368.0,45,abc,-34926913796.631,10458809753.952,76606.684,2375345408.0,0,abc,-7069825814.733,2375345384.515,48202.01
