,params,cv_0_loss,cv_0_best_epoch,cv_0_run_name,cv_0_r^2,cv_0_mse,cv_0_mae,cv_1_loss,cv_1_best_epoch,cv_1_run_name,cv_1_r^2,cv_1_mse,cv_1_mae
0,"{'lr': 0.0006138191641891407, 'train_type': 'predictor_and_readout', 'weight_decay': 0.014308339460034023}",0.07205544163783391,23,abc,0.736,0.079,0.226,0.10513237615426381,14,abc,0.69,0.104,0.251
1,"{'lr': 0.010581221717241268, 'train_type': 'only_predictor', 'weight_decay': 0.007789862832841896}",0.06594101215402286,77,abc,0.769,0.069,0.2,0.09113406886657079,51,abc,0.753,0.083,0.216
2,"{'lr': 5.787362870998929e-05, 'train_type': 'predictor_and_readout', 'weight_decay': 0.0007196213248818781}",0.08486430098613103,199,abc,0.661,0.102,0.253,0.1323407640059789,199,abc,0.609,0.131,0.274
3,"{'lr': 0.002832830401590982, 'train_type': 'predictor_and_readout', 'weight_decay': 0.001210196427880566}",0.04675188288092613,76,abc,0.829,0.051,0.179,0.0915934294462204,16,abc,0.734,0.089,0.229
4,"{'lr': 9.967125265927035e-05, 'train_type': 'only_predictor', 'weight_decay': 0.00018166198242873204}",0.07970585177342097,199,abc,0.685,0.094,0.243,0.10652495423952739,197,abc,0.685,0.106,0.249
5,"{'lr': 0.00016820275496678952, 'train_type': 'only_predictor', 'weight_decay': 0.0021085220990661}",0.07018305982152621,199,abc,0.732,0.08,0.225,0.10554558038711548,36,abc,0.688,0.105,0.249
6,"{'lr': 0.00020902252355685177, 'train_type': 'all_layers', 'weight_decay': 0.10325124483130778}",0.0958741803963979,199,abc,0.619,0.114,0.27,0.12462990979353587,37,abc,0.631,0.124,0.267
7,"{'lr': 0.006553887966063895, 'train_type': 'predictor_and_readout', 'weight_decay': 0.000907906902080013}",0.06094802046815554,74,abc,0.787,0.064,0.2,0.08802672723929088,28,abc,0.734,0.089,0.22
8,"{'lr': 0.0012015955339073046, 'train_type': 'predictor_and_readout', 'weight_decay': 0.06311408437434003}",0.08595222234725952,21,abc,0.691,0.092,0.245,0.11675749222437541,5,abc,0.65,0.117,0.266
9,"{'lr': 6.871203054160547e-05, 'train_type': 'predictor_and_readout', 'weight_decay': 0.00018268305060503847}",0.09314049159487088,199,abc,0.623,0.113,0.268,0.11314307401577632,199,abc,0.665,0.113,0.255
10,"{'lr': 0.00018377916608561682, 'train_type': 'all_layers', 'weight_decay': 0.007111616065453192}",0.07309827581048012,199,abc,0.72,0.084,0.229,0.10614859312772751,28,abc,0.686,0.106,0.251
11,"{'lr': 0.0006224937639856428, 'train_type': 'all_layers', 'weight_decay': 0.18157246504786517}",0.10365667442480724,10,abc,0.593,0.122,0.278,0.1419898122549057,12,abc,0.577,0.142,0.285
12,"{'lr': 0.023280327857568645, 'train_type': 'predictor_and_readout', 'weight_decay': 0.016144656445921737}",0.14225460588932037,85,abc,0.519,0.144,0.312,0.13455904771884283,88,abc,0.589,0.138,0.284
13,"{'lr': 0.0003859296172615008, 'train_type': 'predictor_and_readout', 'weight_decay': 0.0011419539260429355}",0.0637769674261411,199,abc,0.76,0.072,0.213,0.10244136800368626,13,abc,0.694,0.103,0.248
14,"{'lr': 0.00014414351152238403, 'train_type': 'predictor_and_readout', 'weight_decay': 0.01871124268893792}",0.08203684538602829,199,abc,0.678,0.096,0.245,0.10951107243696849,191,abc,0.678,0.108,0.251
15,"{'lr': 0.0478413933683643, 'train_type': 'all_layers', 'weight_decay': 0.00017289425587443914}",0.1481260284781456,57,abc,0.569,0.129,0.294,0.16141595939795175,42,abc,0.527,0.159,0.301
16,"{'lr': 0.03219337583465089, 'train_type': 'only_predictor', 'weight_decay': 0.0016897417318396852}",0.12205870697895686,93,abc,0.645,0.106,0.25,0.15224564572175345,43,abc,0.554,0.15,0.293
17,"{'lr': 0.0020363247384740414, 'train_type': 'all_layers', 'weight_decay': 0.10027701579869383}",0.10245731597145398,0,abc,0.59,0.123,0.283,0.12669371316830316,2,abc,0.613,0.13,0.28
18,"{'lr': 0.001155230039512934, 'train_type': 'all_layers', 'weight_decay': 0.00019679894102795804}",0.04693403591712316,45,abc,0.827,0.052,0.182,0.09878131002187729,27,abc,0.716,0.095,0.235
19,"{'lr': 5.762348731668535e-05, 'train_type': 'all_layers', 'weight_decay': 0.0002611025319088945}",0.09020655229687691,199,abc,0.637,0.109,0.262,0.13186915963888168,199,abc,0.61,0.131,0.273
20,"{'lr': 0.00010490034228367366, 'train_type': 'predictor_and_readout', 'weight_decay': 0.021960409523997606}",0.078267735739549,8,abc,0.712,0.086,0.23,0.11220285048087437,67,abc,0.663,0.113,0.225
