,params,cv_0_loss,cv_0_best_epoch,cv_0_run_name,cv_0_r^2,cv_0_mse,cv_0_mae,cv_0_train_r^2,cv_0_train_mse,cv_0_train_mae,cv_1_loss,cv_1_best_epoch,cv_1_run_name,cv_1_r^2,cv_1_mse,cv_1_mae,cv_1_train_r^2,cv_1_train_mse,cv_1_train_mae
0,"{'lr': 0.024190345028072834, 'train_type': 'predictor_and_readout', 'weight_decay': 0.008191666370636346}",0.21247553825378418,1,abc,0.29,0.212,0.372,-12.939,4.683,2.101,0.14693215489387512,42,abc,0.563,0.147,0.293,0.496,0.151,0.317
1,"{'lr': 0.019121127075081668, 'train_type': 'predictor_and_readout', 'weight_decay': 0.3551936520161147}",0.18035165965557098,1,abc,0.398,0.18,0.346,-1.206,0.741,0.756,0.20889896154403687,1,abc,0.378,0.209,0.365,-2.614,1.082,0.935
2,"{'lr': 0.002169980010999115, 'train_type': 'only_predictor', 'weight_decay': 0.0003736939527906966}",0.04918035864830017,94,abc,0.836,0.049,0.179,0.9,0.034,0.13,0.10282102227210999,9,abc,0.694,0.103,0.249,0.757,0.073,0.213
3,"{'lr': 0.00013216783000449117, 'train_type': 'only_predictor', 'weight_decay': 0.004116196265509191}",0.05430163815617561,287,abc,0.819,0.054,0.187,0.862,0.046,0.156,0.10582583397626877,87,abc,0.685,0.106,0.25,0.783,0.065,0.2
4,"{'lr': 0.00031087652648071647, 'train_type': 'predictor_and_readout', 'weight_decay': 0.13725447319755613}",0.11037395149469376,84,abc,0.631,0.11,0.265,0.653,0.117,0.266,0.12990805506706238,76,abc,0.613,0.13,0.271,0.676,0.097,0.246
5,"{'lr': 0.014674936728346081, 'train_type': 'only_predictor', 'weight_decay': 0.00436818851229212}",0.13237504661083221,1,abc,0.558,0.132,0.291,-6.224,2.427,1.498,0.2218121886253357,5,abc,0.34,0.222,0.365,0.066,0.28,0.435
6,"{'lr': 0.0001318803278766845, 'train_type': 'predictor_and_readout', 'weight_decay': 0.0002338072223274434}",0.05283818021416664,245,abc,0.824,0.053,0.186,0.856,0.049,0.158,0.10588179528713226,83,abc,0.685,0.106,0.249,0.783,0.065,0.199
7,"{'lr': 0.015652800393500733, 'train_type': 'predictor_and_readout', 'weight_decay': 0.15401459053434696}",0.16021613776683807,1,abc,0.465,0.16,0.332,-1.599,0.873,0.845,0.22279462218284607,1,abc,0.337,0.223,0.375,-3.684,1.403,1.101
8,"{'lr': 0.0002886084010602556, 'train_type': 'all_layers', 'weight_decay': 0.0012831921503546346}",0.0544249564409256,138,abc,0.818,0.054,0.187,0.865,0.045,0.151,0.1042201891541481,38,abc,0.69,0.104,0.25,0.778,0.067,0.202
9,"{'lr': 0.0007047738037192289, 'train_type': 'all_layers', 'weight_decay': 0.00030752497804857913}",0.04848688840866089,184,abc,0.838,0.048,0.177,0.905,0.032,0.123,0.10212495923042297,18,abc,0.696,0.102,0.249,0.78,0.066,0.203
10,"{'lr': 0.00011327284008275569, 'train_type': 'only_predictor', 'weight_decay': 0.08172882742873397}",0.09575588256120682,314,abc,0.68,0.096,0.249,0.699,0.101,0.248,0.11513963341712952,252,abc,0.657,0.115,0.254,0.739,0.078,0.222
11,"{'lr': 0.00014794356599944625, 'train_type': 'predictor_and_readout', 'weight_decay': 0.06539088761450783}",0.09025430679321289,378,abc,0.699,0.09,0.244,0.723,0.093,0.235,0.11172466725111008,190,abc,0.667,0.112,0.25,0.754,0.074,0.216
12,"{'lr': 0.0014441589553700475, 'train_type': 'predictor_and_readout', 'weight_decay': 0.0016403536953815347}",0.0702003464102745,21,abc,0.766,0.07,0.211,0.756,0.082,0.221,0.10255466401576996,11,abc,0.695,0.103,0.249,0.774,0.068,0.206
13,"{'lr': 0.0003379905731811961, 'train_type': 'only_predictor', 'weight_decay': 9.760954053374375e-05}",0.05028759315609932,199,abc,0.832,0.05,0.181,0.905,0.032,0.124,0.10392402112483978,35,abc,0.691,0.104,0.249,0.782,0.065,0.201
14,"{'lr': 0.00019398664049938435, 'train_type': 'only_predictor', 'weight_decay': 0.0509677343733561}",0.07821578532457352,315,abc,0.739,0.078,0.224,0.755,0.082,0.217,0.10390511155128479,366,abc,0.691,0.104,0.238,0.809,0.057,0.192
15,"{'lr': 0.0008224291084481155, 'train_type': 'only_predictor', 'weight_decay': 0.0003774105711815853}",0.05172023922204971,134,abc,0.827,0.052,0.185,0.895,0.035,0.13,0.10245171934366226,17,abc,0.695,0.102,0.249,0.784,0.065,0.202
16,"{'lr': 0.002305564214610815, 'train_type': 'only_predictor', 'weight_decay': 0.031072049003169806}",0.08632532507181168,38,abc,0.712,0.086,0.236,0.747,0.085,0.222,0.10597462952136993,14,abc,0.685,0.106,0.254,0.743,0.077,0.229
17,"{'lr': 0.0001935979109057578, 'train_type': 'only_predictor', 'weight_decay': 0.03365664349730542}",0.06420222669839859,432,abc,0.786,0.064,0.201,0.821,0.06,0.186,0.10231178253889084,211,abc,0.695,0.102,0.243,0.813,0.056,0.19
18,"{'lr': 0.003054277194573342, 'train_type': 'all_layers', 'weight_decay': 0.09240046180134198}",0.10918653756380081,7,abc,0.635,0.109,0.268,0.678,0.108,0.259,0.12703867256641388,10,abc,0.622,0.127,0.276,0.671,0.099,0.254
19,"{'lr': 0.03298529417116939, 'train_type': 'only_predictor', 'weight_decay': 0.009915291059167823}",0.18794099986553192,1,abc,0.372,0.188,0.362,-16.322,5.82,2.349,0.1268300712108612,113,abc,0.623,0.127,0.275,0.656,0.103,0.267
20,"{'lr': 0.0005601913757112617, 'train_type': 'predictor_and_readout', 'weight_decay': 0.0012581145030908258}",0.09810258448123932,222,abc,0.672,0.098,0.25,0.84,0.054,0.171,0.11089101433753967,150,abc,0.67,0.111,0.221,0.919,0.024,0.126
21,"{'lr': 0.008961863410754866, 'train_type': 'all_layers', 'weight_decay': 0.005892781448502787}",0.2958814203739166,98,abc,0.012,0.296,0.454,0.005,0.334,0.472,0.33601248264312744,30,abc,-0.0,0.336,0.473,-0.098,0.329,0.483
22,"{'lr': 0.0005622147935855417, 'train_type': 'all_layers', 'weight_decay': 0.001970063700423725}",0.09605107456445694,206,abc,0.679,0.096,0.244,0.83,0.057,0.173,0.11305898427963257,119,abc,0.663,0.113,0.216,0.928,0.022,0.114
23,"{'lr': 0.0002552707065560834, 'train_type': 'all_layers', 'weight_decay': 0.11278195394889891}",0.10889816284179688,42,abc,0.636,0.109,0.259,0.864,0.046,0.16,0.1343851238489151,73,abc,0.6,0.134,0.259,0.887,0.034,0.141
24,"{'lr': 0.030443393420370772, 'train_type': 'predictor_and_readout', 'weight_decay': 0.27769366561383085}",0.2982209622859955,17,abc,0.004,0.298,0.451,-1.734,0.918,0.811,0.32601624727249146,33,abc,0.03,0.326,0.465,-1.89,0.865,0.787
25,"{'lr': 0.0012388187645290638, 'train_type': 'predictor_and_readout', 'weight_decay': 0.00029360133142345405}",0.29914024472236633,23,abc,0.001,0.299,0.455,0.0,0.336,0.474,0.3359873294830322,33,abc,-0.0,0.336,0.473,-0.007,0.301,0.459
26,"{'lr': 0.0031253428074867113, 'train_type': 'all_layers', 'weight_decay': 0.0003516008951022501}",0.3009820580482483,25,abc,-0.005,0.301,0.453,-0.058,0.355,0.494,0.34169089794158936,26,abc,-0.017,0.342,0.471,-0.046,0.313,0.471
27,"{'lr': 0.0003187942015397668, 'train_type': 'all_layers', 'weight_decay': 0.18065130939275592}",0.09564638137817383,60,abc,0.681,0.096,0.242,0.852,0.05,0.162,0.13583609461784363,78,abc,0.596,0.136,0.233,0.934,0.02,0.107
28,"{'lr': 0.03555708990783558, 'train_type': 'all_layers', 'weight_decay': 0.009411691093412871}",0.3004339337348938,15,abc,-0.003,0.3,0.453,-0.414,0.475,0.576,0.3301403224468231,43,abc,0.017,0.33,0.47,-0.444,0.432,0.55
29,"{'lr': 0.0005087999717692058, 'train_type': 'predictor_and_readout', 'weight_decay': 0.0028433541804211344}",0.09593923389911652,111,abc,0.68,0.096,0.244,0.846,0.052,0.164,0.11717810481786728,127,abc,0.651,0.117,0.226,0.898,0.031,0.136
30,"{'lr': 0.025322583894338616, 'train_type': 'all_layers', 'weight_decay': 0.0035567210281844215}",0.2986941635608673,46,abc,0.003,0.299,0.456,0.0,0.336,0.473,0.3356623351573944,62,abc,0.001,0.336,0.471,-0.029,0.308,0.466
31,"{'lr': 0.001450358193075498, 'train_type': 'all_layers', 'weight_decay': 0.2723956499770772}",0.10414087772369385,201,abc,0.652,0.104,0.263,0.705,0.099,0.235,0.13978999853134155,115,abc,0.584,0.14,0.264,0.683,0.095,0.254
32,"{'lr': 0.00048274708455981553, 'train_type': 'only_predictor', 'weight_decay': 9.482785783049539e-05}",0.24392753839492798,3,abc,0.185,0.244,0.412,-4.841,1.963,1.3,0.11303949356079102,48,abc,0.664,0.113,0.222,0.843,0.047,0.175
33,"{'lr': 0.0027204462449202634, 'train_type': 'predictor_and_readout', 'weight_decay': 0.07389660085619722}",0.2871462404727936,46,abc,0.041,0.287,0.447,0.028,0.327,0.467,0.3209472894668579,64,abc,0.045,0.321,0.462,0.066,0.28,0.443
34,"{'lr': 0.00010139461259725134, 'train_type': 'predictor_and_readout', 'weight_decay': 0.018679527103623216}",0.08622648566961288,39,abc,0.712,0.086,0.227,0.87,0.044,0.147,0.10443545877933502,108,abc,0.689,0.104,0.222,0.973,0.008,0.068
35,"{'lr': 0.016143116964233876, 'train_type': 'only_predictor', 'weight_decay': 0.00014813670988217298}",0.30302560329437256,16,abc,-0.012,0.303,0.453,-2.009,1.011,0.859,0.33598363399505615,48,abc,-0.0,0.336,0.472,-0.006,0.301,0.453
