,params,cv_0_loss,cv_0_best_epoch,cv_0_run_name,cv_0_r^2,cv_0_mse,cv_0_mae,cv_0_train_r^2,cv_0_train_mse,cv_0_train_mae,cv_1_loss,cv_1_best_epoch,cv_1_run_name,cv_1_r^2,cv_1_mse,cv_1_mae,cv_1_train_r^2,cv_1_train_mse,cv_1_train_mae
0,"{'lr': 0.00014057078014284168, 'train_type': 'only_predictor', 'weight_decay': 0.2345800239609776}",0.06614550699790318,10,abc,0.781,0.065,0.202,0.344,0.22,0.37,0.07112814982732137,88,abc,0.795,0.069,0.195,0.748,0.075,0.203
1,"{'lr': 0.0019357004284330892, 'train_type': 'only_predictor', 'weight_decay': 0.0027885172771633646}",0.07222164670626323,82,abc,0.77,0.069,0.21,0.568,0.145,0.301,0.08098512267072995,94,abc,0.762,0.08,0.204,0.453,0.164,0.322
2,"{'lr': 0.026120079739714353, 'train_type': 'all_layers', 'weight_decay': 7.479169431143606e-05}",0.08771597097317378,323,abc,0.767,0.07,0.211,-0.898,0.638,0.62,0.0818132609128952,235,abc,0.749,0.084,0.236,-2.63,1.087,0.81
3,"{'lr': 0.009759717050140584, 'train_type': 'all_layers', 'weight_decay': 0.11127711821182287}",0.06332099561889966,170,abc,0.784,0.065,0.203,-0.095,0.368,0.465,0.11607258518536885,83,abc,0.623,0.127,0.273,-2.974,1.19,0.777
4,"{'lr': 0.004557604369080499, 'train_type': 'all_layers', 'weight_decay': 0.0006754451030336932}",0.09485093752543132,63,abc,0.695,0.091,0.229,-0.294,0.435,0.5,0.07492169241110484,66,abc,0.759,0.081,0.212,0.293,0.212,0.374
5,"{'lr': 0.00550321950018118, 'train_type': 'all_layers', 'weight_decay': 0.00047852455945302116}",0.08599497626225154,146,abc,0.735,0.079,0.229,0.281,0.242,0.37,0.07969934990008672,103,abc,0.737,0.089,0.233,0.292,0.212,0.373
6,"{'lr': 0.00238052276053068, 'train_type': 'only_predictor', 'weight_decay': 0.023268138880613798}",0.0663008155922095,45,abc,0.777,0.067,0.217,0.074,0.311,0.443,0.08872549359997113,45,abc,0.748,0.085,0.202,0.129,0.261,0.409
7,"{'lr': 0.025090421158875446, 'train_type': 'predictor_and_readout', 'weight_decay': 0.0840733012773371}",0.2331800659497579,77,abc,0.384,0.184,0.339,-14.167,5.096,1.646,0.3552979975938797,67,abc,-0.017,0.342,0.431,-26.942,8.367,2.042
8,"{'lr': 0.0002572813788427997, 'train_type': 'only_predictor', 'weight_decay': 0.0027231517520363755}",0.05458016321063042,26,abc,0.808,0.058,0.188,0.275,0.243,0.414,0.074720765153567,74,abc,0.78,0.074,0.195,0.657,0.103,0.251
9,"{'lr': 0.022504473642657362, 'train_type': 'only_predictor', 'weight_decay': 0.00605130593690519}",0.061394527554512024,179,abc,0.767,0.07,0.209,-2.156,1.06,0.744,0.15735740959644318,145,abc,0.529,0.158,0.288,-2.286,0.984,0.786
10,"{'lr': 0.025839952573100854, 'train_type': 'only_predictor', 'weight_decay': 0.03166440426204264}",0.22128690282503763,74,abc,0.307,0.207,0.352,-7.176,2.747,1.161,0.31963053345680237,60,abc,0.025,0.328,0.466,-9.2,3.054,1.324
11,"{'lr': 0.0002694465458394208, 'train_type': 'only_predictor', 'weight_decay': 0.012001976641414128}",0.06039075180888176,38,abc,0.798,0.061,0.199,0.521,0.161,0.319,0.07168982674678166,37,abc,0.784,0.073,0.189,0.615,0.115,0.262
12,"{'lr': 0.00017994259645973484, 'train_type': 'predictor_and_readout', 'weight_decay': 0.07000409625338036}",0.05911259353160858,54,abc,0.801,0.06,0.196,0.715,0.096,0.238,0.07280846560994784,31,abc,0.783,0.073,0.2,0.607,0.118,0.28
13,"{'lr': 0.022187330630701226, 'train_type': 'only_predictor', 'weight_decay': 0.08021680290537073}",0.12418405960003535,47,abc,0.61,0.117,0.261,-7.141,2.735,1.26,0.24365425730744997,74,abc,0.09,0.306,0.404,-6.207,2.158,1.022
14,"{'lr': 0.00020135537986823497, 'train_type': 'predictor_and_readout', 'weight_decay': 0.01645638809980574}",0.05408237501978874,81,abc,0.818,0.055,0.183,0.735,0.089,0.22,0.07182218134403229,36,abc,0.775,0.076,0.2,0.559,0.132,0.277
15,"{'lr': 0.0007881071657268251, 'train_type': 'only_predictor', 'weight_decay': 0.0032166633434963987}",0.05789362142483393,41,abc,0.811,0.057,0.192,0.573,0.144,0.287,0.06742141892512639,23,abc,0.8,0.067,0.201,0.284,0.214,0.354
16,"{'lr': 0.00025109060722992144, 'train_type': 'only_predictor', 'weight_decay': 0.0002556878169637863}",0.06177495916684469,43,abc,0.797,0.061,0.199,0.509,0.165,0.315,0.07944905012845993,17,abc,0.762,0.08,0.209,0.389,0.183,0.348
17,"{'lr': 0.017441769584454408, 'train_type': 'predictor_and_readout', 'weight_decay': 0.0002529467546563269}",0.09239476919174194,173,abc,0.716,0.085,0.236,-0.139,0.383,0.461,0.11461518208185832,143,abc,0.67,0.111,0.259,-1.883,0.863,0.703
18,"{'lr': 0.02379516784916935, 'train_type': 'predictor_and_readout', 'weight_decay': 0.0006029315473033215}",0.13075703382492065,45,abc,0.49,0.153,0.31,-4.526,1.857,0.991,0.2950351337591807,92,abc,0.29,0.239,0.367,-7.577,2.568,1.185
19,"{'lr': 0.006405762054523223, 'train_type': 'all_layers', 'weight_decay': 0.020827524447929652}",0.08626027901967366,65,abc,0.714,0.086,0.233,-0.586,0.533,0.532,0.08906226108471553,155,abc,0.752,0.083,0.223,0.271,0.218,0.337
20,"{'lr': 0.0005832033908433445, 'train_type': 'predictor_and_readout', 'weight_decay': 0.001478434159933699}",0.06123755996425947,26,abc,0.794,0.062,0.212,0.586,0.139,0.308,0.07214448725183804,43,abc,0.784,0.073,0.199,0.517,0.145,0.31
21,"{'lr': 0.0006577902157818, 'train_type': 'predictor_and_readout', 'weight_decay': 0.008113359941959861}",0.06115713343024254,30,abc,0.788,0.063,0.203,0.475,0.176,0.331,0.07847432295481364,63,abc,0.778,0.075,0.197,0.369,0.189,0.34
22,"{'lr': 0.0007239110141492216, 'train_type': 'predictor_and_readout', 'weight_decay': 0.29338199882010385}",0.04320122798283895,109,abc,0.862,0.041,0.156,0.742,0.087,0.225,0.07727043827374776,50,abc,0.777,0.075,0.203,0.472,0.158,0.33
