,params,cv_0_loss,cv_0_best_epoch,cv_0_run_name,cv_0_r^2,cv_0_mse,cv_0_mae,cv_0_train_r^2,cv_0_train_mse,cv_0_train_mae,cv_1_loss,cv_1_best_epoch,cv_1_run_name,cv_1_r^2,cv_1_mse,cv_1_mae,cv_1_train_r^2,cv_1_train_mse,cv_1_train_mae
0,"{'lr': 0.0017512585457825707, 'train_type': 'only_predictor', 'weight_decay': 0.0005864751829562987}",0.05864739790558815,151,abc,0.836,0.049,0.18,0.711,0.097,0.23,0.07180359462896983,134,abc,0.801,0.067,0.201,0.629,0.111,0.275
1,"{'lr': 0.006140915661082966, 'train_type': 'all_layers', 'weight_decay': 0.0011978181391976983}",0.10582774629195531,73,abc,0.645,0.106,0.267,-0.515,0.509,0.51,0.10999645789464314,139,abc,0.728,0.091,0.23,0.317,0.205,0.346
2,"{'lr': 0.007976656392478979, 'train_type': 'predictor_and_readout', 'weight_decay': 0.00020123849943025522}",0.06090859075387319,146,abc,0.794,0.062,0.206,0.213,0.264,0.402,0.09971396625041962,198,abc,0.701,0.101,0.252,0.374,0.187,0.356
3,"{'lr': 0.0009915111973522427, 'train_type': 'all_layers', 'weight_decay': 5.9385614323019e-05}",0.06035225590070089,43,abc,0.825,0.052,0.181,0.454,0.183,0.34,0.0945760707060496,49,abc,0.744,0.086,0.218,0.517,0.145,0.279
4,"{'lr': 0.0005447442135041289, 'train_type': 'predictor_and_readout', 'weight_decay': 0.05425982821275876}",0.059090450406074524,27,abc,0.808,0.058,0.186,0.632,0.124,0.273,0.07303916414578755,69,abc,0.811,0.064,0.195,0.467,0.16,0.319
5,"{'lr': 0.00011384191179874891, 'train_type': 'only_predictor', 'weight_decay': 0.0015511747544789864}",0.05989960705240568,79,abc,0.81,0.057,0.187,0.698,0.101,0.246,0.07462127382556598,56,abc,0.785,0.072,0.195,0.638,0.108,0.264
6,"{'lr': 0.00012440566024044767, 'train_type': 'predictor_and_readout', 'weight_decay': 0.0013893126669711348}",0.06613132854302724,54,abc,0.789,0.063,0.191,0.665,0.112,0.265,0.07783739765485127,95,abc,0.779,0.074,0.196,0.677,0.097,0.244
7,"{'lr': 0.028909626687583057, 'train_type': 'all_layers', 'weight_decay': 0.018863982716370402}",0.1461702436208725,119,abc,0.446,0.166,0.322,-10.132,3.74,1.322,0.28511818250020343,168,abc,0.116,0.297,0.429,-4.527,1.655,1.019
8,"{'lr': 0.0015249662307789504, 'train_type': 'predictor_and_readout', 'weight_decay': 0.014992422762357615}",0.06840053449074428,101,abc,0.781,0.066,0.202,0.554,0.15,0.3,0.07149613151947658,144,abc,0.803,0.066,0.191,0.722,0.083,0.24
9,"{'lr': 0.02692357514293428, 'train_type': 'predictor_and_readout', 'weight_decay': 0.0013700345180207914}",0.09782686829566956,60,abc,0.652,0.104,0.255,-13.725,4.947,1.855,0.20011998216311136,88,abc,0.422,0.194,0.33,-6.912,2.369,1.279
