,params,cv_0_loss,cv_0_best_epoch,cv_0_run_name,cv_0_r^2,cv_0_mse,cv_0_mae,cv_0_train_r^2,cv_0_train_mse,cv_0_train_mae,cv_1_loss,cv_1_best_epoch,cv_1_run_name,cv_1_r^2,cv_1_mse,cv_1_mae,cv_1_train_r^2,cv_1_train_mse,cv_1_train_mae
0,"{'lr': 0.0006717779656183234, 'train_type': 'predictor_and_readout', 'weight_decay': 0.3415454845551332}",0.07548736780881882,30,abc,0.748,0.075,0.222,0.704,0.1,0.233,0.11375050991773605,23,abc,0.661,0.114,0.243,0.733,0.08,0.23
1,"{'lr': 0.0033431855709922017, 'train_type': 'all_layers', 'weight_decay': 0.0010275555399572478}",0.07702642679214478,150,abc,0.743,0.077,0.22,0.932,0.023,0.111,0.09497925639152527,318,abc,0.717,0.095,0.201,0.957,0.013,0.084
2,"{'lr': 0.02801581337390985, 'train_type': 'only_predictor', 'weight_decay': 0.0018923498333238001}",0.11527834832668304,305,abc,0.615,0.115,0.278,0.734,0.089,0.22,0.18128058314323425,71,abc,0.46,0.181,0.275,0.711,0.087,0.225
3,"{'lr': 0.010424456329777034, 'train_type': 'only_predictor', 'weight_decay': 0.007738464807891003}",0.07725844532251358,55,abc,0.742,0.077,0.223,0.854,0.049,0.166,0.13517004251480103,112,abc,0.598,0.135,0.232,0.955,0.014,0.09
4,"{'lr': 0.002450846663272409, 'train_type': 'all_layers', 'weight_decay': 0.0020567671602868196}",0.07257945090532303,128,abc,0.758,0.073,0.223,0.895,0.035,0.14,0.10156634449958801,121,abc,0.698,0.102,0.226,0.919,0.024,0.115
5,"{'lr': 0.00470097688190334, 'train_type': 'only_predictor', 'weight_decay': 0.018380324550401617}",0.10077811032533646,68,abc,0.663,0.101,0.264,0.744,0.086,0.224,0.12961909174919128,142,abc,0.614,0.13,0.258,0.875,0.038,0.151
6,"{'lr': 0.007735553695654063, 'train_type': 'only_predictor', 'weight_decay': 0.004701849030721842}",0.09243409335613251,48,abc,0.691,0.092,0.249,0.798,0.068,0.193,0.12171744555234909,78,abc,0.638,0.122,0.257,0.905,0.028,0.134
7,"{'lr': 0.0041738662426708106, 'train_type': 'predictor_and_readout', 'weight_decay': 9.589094992446708e-05}",0.0970204696059227,110,abc,0.676,0.097,0.245,0.867,0.045,0.156,0.08074497431516647,178,abc,0.76,0.081,0.205,0.968,0.01,0.073
8,"{'lr': 0.0009036805096364819, 'train_type': 'predictor_and_readout', 'weight_decay': 0.2330299292052055}",0.07238653302192688,27,abc,0.758,0.072,0.218,0.687,0.105,0.235,0.11135131120681763,57,abc,0.669,0.111,0.239,0.806,0.058,0.196
9,"{'lr': 0.0007915968957750762, 'train_type': 'predictor_and_readout', 'weight_decay': 0.00046314778089887634}",0.0536411851644516,37,abc,0.821,0.054,0.185,0.822,0.06,0.176,0.08433952927589417,101,abc,0.749,0.084,0.199,0.929,0.021,0.117
10,"{'lr': 0.0002649712058768406, 'train_type': 'only_predictor', 'weight_decay': 0.1035525955138083}",0.07388663291931152,48,abc,0.753,0.074,0.207,0.791,0.07,0.178,0.09259385615587234,61,abc,0.724,0.093,0.204,0.816,0.055,0.189
11,"{'lr': 0.03283436181261961, 'train_type': 'only_predictor', 'weight_decay': 8.097346012141726e-05}",0.13314898312091827,66,abc,0.555,0.133,0.298,0.546,0.153,0.292,0.21252189576625824,67,abc,0.367,0.213,0.338,0.575,0.127,0.295
12,"{'lr': 0.0008281126953153235, 'train_type': 'only_predictor', 'weight_decay': 0.008586674358171535}",0.05386291816830635,37,abc,0.82,0.054,0.186,0.817,0.061,0.178,0.08654329925775528,113,abc,0.742,0.087,0.202,0.918,0.025,0.128
13,"{'lr': 0.00760874881614935, 'train_type': 'all_layers', 'weight_decay': 0.004443173139125155}",0.08894359320402145,84,abc,0.703,0.089,0.242,0.882,0.04,0.146,0.11105373501777649,51,abc,0.669,0.111,0.252,0.877,0.037,0.151
14,"{'lr': 0.0020431788439535356, 'train_type': 'predictor_and_readout', 'weight_decay': 0.0813617050779525}",0.09830181300640106,54,abc,0.672,0.098,0.257,0.75,0.084,0.217,0.09698795527219772,48,abc,0.711,0.097,0.226,0.837,0.049,0.18
15,"{'lr': 0.024280780435120986, 'train_type': 'all_layers', 'weight_decay': 0.22777207449459808}",0.21394594013690948,9,abc,0.286,0.214,0.383,-0.042,0.35,0.462,0.29945749044418335,225,abc,0.109,0.299,0.442,0.131,0.26,0.424
16,"{'lr': 0.0017678050907045354, 'train_type': 'only_predictor', 'weight_decay': 0.09308664820771174}",0.08223560452461243,36,abc,0.725,0.082,0.235,0.749,0.084,0.215,0.09654673933982849,45,abc,0.713,0.097,0.225,0.834,0.05,0.184
17,"{'lr': 0.007286565045699175, 'train_type': 'only_predictor', 'weight_decay': 0.0001456679462719817}",0.09826403856277466,82,abc,0.672,0.098,0.25,0.803,0.066,0.202,0.11226707696914673,120,abc,0.666,0.112,0.225,0.894,0.032,0.149
18,"{'lr': 0.002753405499810375, 'train_type': 'all_layers', 'weight_decay': 9.06181235204403e-05}",0.08924087882041931,39,abc,0.702,0.089,0.245,0.778,0.075,0.212,0.12335658073425293,45,abc,0.633,0.123,0.244,0.808,0.058,0.196
19,"{'lr': 0.005631702997823949, 'train_type': 'predictor_and_readout', 'weight_decay': 0.0026357746157536495}",0.11514385789632797,87,abc,0.615,0.115,0.277,0.854,0.049,0.165,0.1140221431851387,114,abc,0.661,0.114,0.242,0.925,0.023,0.119
20,"{'lr': 0.00014612857205673378, 'train_type': 'predictor_and_readout', 'weight_decay': 0.0004001622839963618}",0.08514881879091263,469,abc,0.716,0.085,0.211,0.889,0.037,0.134,0.07660771906375885,270,abc,0.772,0.077,0.175,0.893,0.032,0.141
21,"{'lr': 0.0004197496460162477, 'train_type': 'predictor_and_readout', 'weight_decay': 0.023216232755396415}",0.06457535177469254,34,abc,0.784,0.065,0.204,0.774,0.076,0.192,0.08456867188215256,382,abc,0.748,0.085,0.197,0.891,0.033,0.146
22,"{'lr': 0.0001080209970334635, 'train_type': 'predictor_and_readout', 'weight_decay': 0.0004733068016297244}",0.08540908247232437,452,abc,0.715,0.085,0.211,0.896,0.035,0.131,0.07567669451236725,235,abc,0.775,0.076,0.175,0.898,0.031,0.137
23,"{'lr': 0.0011628748112227213, 'train_type': 'only_predictor', 'weight_decay': 0.00028840852508041034}",0.05385982245206833,35,abc,0.82,0.054,0.191,0.773,0.076,0.199,0.0896015465259552,58,abc,0.733,0.09,0.204,0.88,0.036,0.151
24,"{'lr': 0.0002319794099266263, 'train_type': 'predictor_and_readout', 'weight_decay': 0.01363852289764431}",0.07633267343044281,51,abc,0.745,0.076,0.212,0.8,0.067,0.171,0.07908445596694946,354,abc,0.765,0.079,0.182,0.892,0.032,0.142
25,"{'lr': 0.0005244900812554635, 'train_type': 'only_predictor', 'weight_decay': 0.0009286160403149085}",0.06317594647407532,31,abc,0.789,0.063,0.205,0.765,0.079,0.199,0.07853057980537415,145,abc,0.766,0.079,0.201,0.953,0.014,0.091
26,"{'lr': 0.0013303266545899692, 'train_type': 'predictor_and_readout', 'weight_decay': 0.03882077476214235}",0.05738663673400879,42,abc,0.808,0.057,0.2,0.811,0.064,0.181,0.09254501760005951,68,abc,0.725,0.093,0.218,0.872,0.038,0.158
27,"{'lr': 0.0003346950828687968, 'train_type': 'only_predictor', 'weight_decay': 0.009436179234790829}",0.06694740802049637,38,abc,0.776,0.067,0.205,0.785,0.072,0.185,0.09102271497249603,52,abc,0.729,0.091,0.202,0.836,0.049,0.181
28,"{'lr': 0.0007786769370278447, 'train_type': 'predictor_and_readout', 'weight_decay': 0.00020327926505324303}",0.05495702847838402,36,abc,0.816,0.055,0.187,0.824,0.059,0.177,0.08559654653072357,101,abc,0.745,0.086,0.204,0.929,0.021,0.117
29,"{'lr': 0.00019221622032008243, 'train_type': 'predictor_and_readout', 'weight_decay': 0.0008395889319209565}",0.08118513226509094,57,abc,0.729,0.081,0.216,0.798,0.068,0.172,0.0776296928524971,328,abc,0.769,0.078,0.177,0.891,0.033,0.143
