,params,cv_0_loss,cv_0_best_epoch,cv_0_run_name,cv_0_r^2,cv_0_mse,cv_0_mae,cv_0_train_r^2,cv_0_train_mse,cv_0_train_mae,cv_1_loss,cv_1_best_epoch,cv_1_run_name,cv_1_r^2,cv_1_mse,cv_1_mae,cv_1_train_r^2,cv_1_train_mse,cv_1_train_mae
0,"{'lr': 0.030741601912421045, 'train_type': 'all_layers', 'weight_decay': 7.193082468749497e-05}",0.16687873005867004,112,abc,0.443,0.167,0.336,0.582,0.141,0.29,0.307264119386673,161,abc,0.085,0.307,0.426,0.286,0.214,0.377
1,"{'lr': 0.009753280074422735, 'train_type': 'only_predictor', 'weight_decay': 0.011892579642292418}",0.2992909848690033,11,abc,0.001,0.299,0.456,-0.371,0.461,0.536,0.1747286319732666,199,abc,0.48,0.175,0.331,0.497,0.151,0.306
2,"{'lr': 0.038044458054198094, 'train_type': 'predictor_and_readout', 'weight_decay': 0.07527137242182344}",0.29901769757270813,2,abc,0.001,0.299,0.457,-8.725,3.268,1.712,0.3257904350757599,78,abc,0.03,0.326,0.465,-0.386,0.415,0.542
3,"{'lr': 0.000249148791470145, 'train_type': 'all_layers', 'weight_decay': 0.05629678831553729}",0.05383747071027756,359,abc,0.82,0.054,0.18,0.818,0.061,0.184,0.09267020225524902,256,abc,0.724,0.093,0.235,0.865,0.04,0.153
4,"{'lr': 0.00013833525859308573, 'train_type': 'all_layers', 'weight_decay': 0.006138119928170198}",0.0478396937251091,628,abc,0.84,0.048,0.178,0.899,0.034,0.135,0.08658082783222198,345,abc,0.742,0.087,0.227,0.875,0.038,0.15
5,"{'lr': 0.0024157801508531175, 'train_type': 'all_layers', 'weight_decay': 0.3102718282122965}",0.2561424672603607,19,abc,0.145,0.256,0.421,0.108,0.3,0.442,0.30650654435157776,34,abc,0.088,0.307,0.45,0.125,0.262,0.427
6,"{'lr': 0.0001231452674605275, 'train_type': 'only_predictor', 'weight_decay': 0.28571579734753166}",0.11397986859083176,130,abc,0.619,0.114,0.272,0.583,0.14,0.3,0.16351373493671417,160,abc,0.513,0.164,0.321,0.62,0.114,0.277
7,"{'lr': 0.0011869844865376594, 'train_type': 'all_layers', 'weight_decay': 4.97328914315857e-05}",0.049135513603687286,62,abc,0.836,0.049,0.178,0.821,0.06,0.188,0.08833088725805283,61,abc,0.737,0.088,0.22,0.859,0.042,0.156
8,"{'lr': 0.0029766336439841605, 'train_type': 'only_predictor', 'weight_decay': 0.00019681251282209752}",0.10227572172880173,63,abc,0.658,0.102,0.26,0.656,0.116,0.258,0.08553376793861389,233,abc,0.745,0.086,0.205,0.933,0.02,0.102
9,"{'lr': 0.0016559620253307284, 'train_type': 'all_layers', 'weight_decay': 0.14019748518688901}",0.14731982350349426,75,abc,0.508,0.147,0.319,0.631,0.124,0.277,0.17362235486507416,115,abc,0.483,0.174,0.32,0.513,0.146,0.328
10,"{'lr': 0.0027119122515698677, 'train_type': 'predictor_and_readout', 'weight_decay': 0.041142920986431054}",0.09495791047811508,111,abc,0.683,0.095,0.247,0.779,0.074,0.214,0.10343994945287704,148,abc,0.692,0.103,0.242,0.848,0.046,0.17
11,"{'lr': 0.004314851986849456, 'train_type': 'all_layers', 'weight_decay': 0.004756038273096256}",0.1408143788576126,156,abc,0.53,0.141,0.305,0.76,0.081,0.223,0.18767130374908447,73,abc,0.441,0.188,0.334,0.461,0.161,0.334
12,"{'lr': 0.00030071431864794754, 'train_type': 'predictor_and_readout', 'weight_decay': 0.08052249938889815}",0.06473387777805328,139,abc,0.784,0.065,0.196,0.772,0.077,0.214,0.09808572381734848,211,abc,0.708,0.098,0.246,0.83,0.051,0.176
13,"{'lr': 0.0006819717827180116, 'train_type': 'all_layers', 'weight_decay': 0.00011397533331239676}",0.04372759535908699,227,abc,0.854,0.044,0.173,0.887,0.038,0.141,0.08718862384557724,117,abc,0.74,0.087,0.22,0.887,0.034,0.138
14,"{'lr': 0.01753257142732685, 'train_type': 'only_predictor', 'weight_decay': 0.0028336867883641177}",0.2994469404220581,17,abc,0.0,0.299,0.455,-0.157,0.389,0.489,0.20945318043231964,104,abc,0.377,0.209,0.351,0.494,0.151,0.32
15,"{'lr': 0.0008232410249042825, 'train_type': 'all_layers', 'weight_decay': 0.04116377801642001}",0.04934670403599739,261,abc,0.835,0.049,0.175,0.836,0.055,0.176,0.09628352522850037,67,abc,0.713,0.096,0.234,0.847,0.046,0.165
16,"{'lr': 0.0010399880476174813, 'train_type': 'all_layers', 'weight_decay': 0.00011234285330356308}",0.04525788128376007,151,abc,0.849,0.045,0.174,0.875,0.042,0.152,0.08403979241847992,96,abc,0.75,0.084,0.214,0.892,0.032,0.134
17,"{'lr': 0.009925448811257998, 'train_type': 'only_predictor', 'weight_decay': 4.661057999174789e-05}",0.29944685101509094,67,abc,0.0,0.299,0.456,-0.001,0.336,0.472,0.33603426814079285,67,abc,-0.0,0.336,0.472,0.0,0.299,0.456
18,"{'lr': 0.0001716194112406689, 'train_type': 'only_predictor', 'weight_decay': 0.07362777362847588}",0.060816433280706406,237,abc,0.797,0.061,0.191,0.793,0.069,0.201,0.0929870530962944,328,abc,0.723,0.093,0.24,0.846,0.046,0.167
19,"{'lr': 0.00022534162525223318, 'train_type': 'predictor_and_readout', 'weight_decay': 0.04836211216836707}",0.05279994383454323,397,abc,0.824,0.053,0.18,0.827,0.058,0.178,0.09351758658885956,278,abc,0.722,0.094,0.234,0.869,0.039,0.15
20,"{'lr': 0.00054932887593467, 'train_type': 'all_layers', 'weight_decay': 0.0004189807025699157}",0.049345169216394424,197,abc,0.835,0.049,0.177,0.893,0.036,0.139,0.08403617143630981,126,abc,0.75,0.084,0.213,0.892,0.032,0.138
21,"{'lr': 0.0004939445546032882, 'train_type': 'all_layers', 'weight_decay': 0.000986993173192739}",0.0483873225748539,174,abc,0.838,0.048,0.179,0.883,0.039,0.147,0.08890246599912643,148,abc,0.735,0.089,0.222,0.887,0.034,0.138
22,"{'lr': 0.0008811213592433354, 'train_type': 'all_layers', 'weight_decay': 0.00017000272703537872}",0.04236246645450592,190,abc,0.859,0.042,0.169,0.888,0.037,0.142,0.0861092060804367,87,abc,0.744,0.086,0.217,0.883,0.035,0.141
23,"{'lr': 0.004798772072455018, 'train_type': 'all_layers', 'weight_decay': 0.0006639272209295751}",0.08850478380918503,218,abc,0.704,0.089,0.232,0.907,0.031,0.127,0.3359963595867157,98,abc,-0.0,0.336,0.472,0.001,0.299,0.456
24,"{'lr': 0.0011712511453882484, 'train_type': 'all_layers', 'weight_decay': 0.00022939960365716267}",0.0491509810090065,62,abc,0.836,0.049,0.178,0.821,0.06,0.187,0.08407063037157059,98,abc,0.75,0.084,0.216,0.898,0.031,0.132
25,"{'lr': 0.0003469702607856195, 'train_type': 'all_layers', 'weight_decay': 0.0014287057049208378}",0.046444110572338104,264,abc,0.845,0.046,0.176,0.874,0.042,0.15,0.08649987727403641,126,abc,0.743,0.086,0.223,0.868,0.04,0.155
26,"{'lr': 0.001250330230208404, 'train_type': 'predictor_and_readout', 'weight_decay': 0.0001364061486284434}",0.04930286481976509,63,abc,0.835,0.049,0.177,0.826,0.058,0.177,0.08944837003946304,59,abc,0.734,0.089,0.225,0.858,0.042,0.16
27,"{'lr': 0.006814931686449329, 'train_type': 'all_layers', 'weight_decay': 0.00048502109709506065}",0.29946938157081604,22,abc,-0.0,0.299,0.455,-0.107,0.372,0.507,0.33608973026275635,32,abc,-0.0,0.336,0.473,-0.014,0.303,0.453
28,"{'lr': 0.0003613631636518959, 'train_type': 'all_layers', 'weight_decay': 8.99184725752593e-05}",0.05002758279442787,218,abc,0.833,0.05,0.183,0.87,0.044,0.152,0.0861457884311676,133,abc,0.744,0.086,0.226,0.879,0.036,0.147
29,"{'lr': 0.0007853069683910835, 'train_type': 'all_layers', 'weight_decay': 0.00027622147815849397}",0.04531033709645271,163,abc,0.849,0.045,0.174,0.878,0.041,0.149,0.08627991378307343,84,abc,0.743,0.086,0.218,0.876,0.037,0.147
