,params,cv_0_loss,cv_0_best_epoch,cv_0_run_name,cv_0_r^2,cv_0_mse,cv_0_mae,cv_0_train_r^2,cv_0_train_mse,cv_0_train_mae,cv_1_loss,cv_1_best_epoch,cv_1_run_name,cv_1_r^2,cv_1_mse,cv_1_mae,cv_1_train_r^2,cv_1_train_mse,cv_1_train_mae
0,"{'lr': 0.0007168377910138846, 'train_type': 'predictor_and_readout', 'weight_decay': 0.17286864896296636}",0.06142583116889,23,abc,0.795,0.061,0.195,-3.957,1.666,1.203,0.08880095183849335,134,abc,0.736,0.089,0.223,0.54,0.138,0.279
1,"{'lr': 0.006493955452859981, 'train_type': 'all_layers', 'weight_decay': 0.0002613430801602134}",0.15984651446342468,66,abc,0.466,0.16,0.315,-3.712,1.583,1.012,0.16951195895671844,118,abc,0.495,0.17,0.316,0.267,0.22,0.353
2,"{'lr': 0.001982011036666837, 'train_type': 'all_layers', 'weight_decay': 0.007188028461803739}",0.1044958159327507,6,abc,0.651,0.104,0.254,-220.233,74.331,8.52,0.25882697105407715,6,abc,0.23,0.259,0.44,-292.374,87.85,9.266
3,"{'lr': 0.0002851222273886637, 'train_type': 'all_layers', 'weight_decay': 0.00011114938237531768}",0.0670548528432846,28,abc,0.776,0.067,0.21,0.298,0.236,0.403,0.08544134348630905,60,abc,0.746,0.085,0.214,0.569,0.129,0.286
4,"{'lr': 0.00010420073003363794, 'train_type': 'predictor_and_readout', 'weight_decay': 0.13039489442827426}",0.06662104278802872,30,abc,0.778,0.067,0.205,0.408,0.199,0.347,0.08163335174322128,62,abc,0.757,0.082,0.214,0.663,0.101,0.255
5,"{'lr': 0.0005844723497498905, 'train_type': 'only_predictor', 'weight_decay': 0.18476943969680543}",0.07118882238864899,55,abc,0.762,0.071,0.21,0.335,0.223,0.372,0.09251914918422699,67,abc,0.725,0.093,0.228,0.604,0.119,0.281
6,"{'lr': 0.0002439690653511329, 'train_type': 'all_layers', 'weight_decay': 0.0004276800678691505}",0.07099661976099014,45,abc,0.763,0.071,0.214,0.545,0.153,0.302,0.0833161473274231,78,abc,0.752,0.083,0.208,0.659,0.102,0.24
7,"{'lr': 0.000318659878885551, 'train_type': 'all_layers', 'weight_decay': 0.1055912776865332}",0.058809712529182434,22,abc,0.804,0.059,0.191,-0.506,0.506,0.633,0.08932646363973618,74,abc,0.734,0.089,0.222,0.578,0.126,0.287
8,"{'lr': 0.012274331938125667, 'train_type': 'predictor_and_readout', 'weight_decay': 0.0001337115093375968}",0.12193087488412857,117,abc,0.593,0.122,0.27,-0.897,0.637,0.552,0.29264771938323975,61,abc,0.129,0.293,0.443,-9.22,3.061,1.513
9,"{'lr': 0.0001019553412045036, 'train_type': 'predictor_and_readout', 'weight_decay': 0.004823075784908075}",0.07031921297311783,20,abc,0.765,0.07,0.205,0.461,0.181,0.32,0.08064039051532745,55,abc,0.76,0.081,0.208,0.566,0.13,0.284
