,params,cv_0_loss,cv_0_best_epoch,cv_0_run_name,cv_0_r^2,cv_0_mse,cv_0_mae,cv_0_train_r^2,cv_0_train_mse,cv_0_train_mae,cv_1_loss,cv_1_best_epoch,cv_1_run_name,cv_1_r^2,cv_1_mse,cv_1_mae,cv_1_train_r^2,cv_1_train_mse,cv_1_train_mae
0,"{'lr': 0.00041260393312452155, 'train_type': 'only_predictor', 'weight_decay': 0.031023896437736374}",0.05921854078769684,78,abc,0.802,0.059,0.191,0.76,0.08,0.217,0.08134932070970535,71,abc,0.758,0.081,0.207,0.709,0.087,0.229
1,"{'lr': 0.008151790892771873, 'train_type': 'all_layers', 'weight_decay': 5.116433587784596e-05}",0.31791257858276367,45,abc,-0.062,0.318,0.426,-7.297,2.788,1.544,1.1113286018371582,40,abc,-2.308,1.111,0.733,-52.788,16.107,3.848
2,"{'lr': 0.00012898302792555374, 'train_type': 'only_predictor', 'weight_decay': 0.36102150773404346}",0.06277651339769363,54,abc,0.79,0.063,0.194,0.572,0.144,0.297,0.08595269918441772,65,abc,0.744,0.086,0.21,0.662,0.101,0.249
3,"{'lr': 0.004235258958394826, 'train_type': 'predictor_and_readout', 'weight_decay': 0.28458800887779134}",0.15134984254837036,19,abc,0.495,0.151,0.311,-199.337,67.31,7.985,0.20414221286773682,65,abc,0.392,0.204,0.366,-0.159,0.347,0.448
4,"{'lr': 0.001267266941991786, 'train_type': 'only_predictor', 'weight_decay': 0.003941532500437162}",0.10227811336517334,6,abc,0.658,0.102,0.252,-118.967,40.307,6.278,0.10448693484067917,136,abc,0.689,0.104,0.234,0.637,0.109,0.261
5,"{'lr': 0.0002616137262890863, 'train_type': 'all_layers', 'weight_decay': 0.08341628591996093}",0.06586241722106934,41,abc,0.78,0.066,0.199,0.428,0.192,0.341,0.08068922907114029,78,abc,0.76,0.081,0.205,0.608,0.117,0.284
6,"{'lr': 0.0016610584739179706, 'train_type': 'all_layers', 'weight_decay': 0.0574414827883282}",0.19491368532180786,6,abc,0.349,0.195,0.359,-192.198,64.911,7.958,0.1597987711429596,6,abc,0.524,0.16,0.306,-234.38,70.484,8.321
7,"{'lr': 0.001028312969774485, 'train_type': 'all_layers', 'weight_decay': 0.024713778882786842}",0.0668981522321701,65,abc,0.777,0.067,0.198,0.66,0.114,0.277,0.2556729316711426,6,abc,0.239,0.256,0.382,-87.406,26.473,5.092
8,"{'lr': 0.0025772736068762087, 'train_type': 'all_layers', 'weight_decay': 0.0017759676240884903}",0.15561065077781677,19,abc,0.48,0.156,0.312,-55.734,19.062,4.274,0.1475953310728073,101,abc,0.561,0.148,0.29,0.509,0.147,0.288
9,"{'lr': 0.024402129819653062, 'train_type': 'only_predictor', 'weight_decay': 0.005567693770893254}",0.6407948732376099,118,abc,-1.14,0.641,0.634,-6.995,2.686,1.186,0.1821947544813156,160,abc,0.458,0.182,0.336,-5.482,1.941,1.064
