,params,cv_0_loss,cv_0_best_epoch,cv_0_run_name,cv_0_r^2,cv_0_mse,cv_0_mae,cv_0_train_r^2,cv_0_train_mse,cv_0_train_mae,cv_1_loss,cv_1_best_epoch,cv_1_run_name,cv_1_r^2,cv_1_mse,cv_1_mae,cv_1_train_r^2,cv_1_train_mse,cv_1_train_mae
0,"{'lr': 0.005274133043774066, 'train_type': 'predictor_and_readout', 'weight_decay': 0.08593848862758185}",0.23491287231445312,0,abc,0.216,0.235,0.389,-1.1,0.706,0.68,0.24302928149700165,4,abc,0.277,0.243,0.392,-0.643,0.492,0.575
1,"{'lr': 0.0002076946730526159, 'train_type': 'predictor_and_readout', 'weight_decay': 0.06807110904248682}",0.21762461960315704,13,abc,0.273,0.218,0.371,0.012,0.332,0.448,0.14788545668125153,54,abc,0.56,0.148,0.299,0.012,0.296,0.419
2,"{'lr': 0.00010335491018688355, 'train_type': 'all_layers', 'weight_decay': 0.05960370587590922}",0.22293724119663239,46,abc,0.256,0.223,0.373,0.037,0.324,0.455,0.17531125247478485,48,abc,0.478,0.175,0.331,-0.389,0.416,0.504
3,"{'lr': 0.0005755674351867792, 'train_type': 'predictor_and_readout', 'weight_decay': 0.21313425777490785}",0.21051611006259918,4,abc,0.297,0.211,0.366,0.053,0.318,0.458,0.126838818192482,180,abc,0.622,0.127,0.277,0.432,0.17,0.33
4,"{'lr': 0.0014054488572583649, 'train_type': 'all_layers', 'weight_decay': 0.0026044999399927674}",0.16050311923027039,9,abc,0.464,0.161,0.311,0.359,0.215,0.371,0.1382395476102829,9,abc,0.589,0.138,0.299,0.169,0.249,0.393
5,"{'lr': 0.0003245339916755718, 'train_type': 'all_layers', 'weight_decay': 0.015131483933006822}",0.19952191412448883,22,abc,0.334,0.2,0.353,0.364,0.214,0.377,0.11998652666807175,115,abc,0.643,0.12,0.269,0.446,0.166,0.317
6,"{'lr': 0.0003377762474563579, 'train_type': 'only_predictor', 'weight_decay': 0.04819386341799634}",0.17782945930957794,122,abc,0.406,0.178,0.335,0.465,0.18,0.334,0.12320651113986969,126,abc,0.633,0.123,0.276,0.363,0.191,0.337
7,"{'lr': 0.0066233427847849444, 'train_type': 'predictor_and_readout', 'weight_decay': 0.09217639498356665}",0.22218212485313416,3,abc,0.258,0.222,0.382,-1.097,0.705,0.71,0.26741689443588257,4,abc,0.204,0.267,0.43,-2.146,0.942,0.833
8,"{'lr': 0.0005575600652725859, 'train_type': 'only_predictor', 'weight_decay': 0.0015836638607953386}",0.12797728180885315,60,abc,0.573,0.128,0.284,0.619,0.128,0.289,0.1252402365207672,16,abc,0.627,0.125,0.285,0.348,0.195,0.351
9,"{'lr': 0.03712671643161274, 'train_type': 'all_layers', 'weight_decay': 0.011049956512015208}",0.3585268557071686,19,abc,-0.197,0.359,0.496,0.309,0.232,0.393,0.3018113374710083,39,abc,0.102,0.302,0.441,0.458,0.162,0.332
10,"{'lr': 0.00515002729962401, 'train_type': 'predictor_and_readout', 'weight_decay': 0.07042414835271874}",0.2316468507051468,0,abc,0.226,0.232,0.386,-1.131,0.716,0.699,0.21638664603233337,4,abc,0.356,0.216,0.373,-1.381,0.713,0.69
11,"{'lr': 0.03187833257022857, 'train_type': 'only_predictor', 'weight_decay': 0.02411488191223577}",0.3317596912384033,12,abc,-0.108,0.332,0.485,-0.422,0.478,0.514,0.3078043758869171,18,abc,0.084,0.308,0.45,0.214,0.235,0.406
12,"{'lr': 0.0011448657636210346, 'train_type': 'all_layers', 'weight_decay': 0.09999815760398764}",0.20222297310829163,9,abc,0.325,0.202,0.356,0.28,0.242,0.404,0.16273939609527588,10,abc,0.516,0.163,0.321,-0.481,0.443,0.528
13,"{'lr': 0.001898620283115392, 'train_type': 'all_layers', 'weight_decay': 0.07242028919514006}",0.21391738951206207,1,abc,0.286,0.214,0.371,-0.178,0.396,0.488,0.1721992939710617,6,abc,0.487,0.172,0.327,-0.165,0.349,0.501
14,"{'lr': 0.02961623810112834, 'train_type': 'only_predictor', 'weight_decay': 0.07555201887046908}",0.3957520127296448,6,abc,-0.322,0.396,0.531,-12.918,4.676,1.976,0.3265639543533325,21,abc,0.028,0.327,0.469,0.61,0.117,0.26
15,"{'lr': 0.0007085181132221673, 'train_type': 'only_predictor', 'weight_decay': 0.00014301068769413187}",0.10447978973388672,52,abc,0.651,0.104,0.258,0.68,0.108,0.258,0.09072531759738922,42,abc,0.73,0.091,0.221,0.713,0.086,0.242
16,"{'lr': 0.0011818596856555303, 'train_type': 'predictor_and_readout', 'weight_decay': 0.02558107920591822}",0.1988215446472168,8,abc,0.336,0.199,0.363,0.365,0.213,0.381,0.15909644961357117,10,abc,0.526,0.159,0.319,0.068,0.279,0.411
17,"{'lr': 0.0015314272768503514, 'train_type': 'all_layers', 'weight_decay': 0.001104506994125881}",0.12825633585453033,20,abc,0.572,0.128,0.288,0.66,0.114,0.268,0.0977281853556633,38,abc,0.709,0.098,0.233,0.693,0.092,0.254
18,"{'lr': 0.001095005820056767, 'train_type': 'predictor_and_readout', 'weight_decay': 0.01585708612508955}",0.1818196326494217,9,abc,0.393,0.182,0.337,0.386,0.206,0.383,0.1501592993736267,10,abc,0.553,0.15,0.311,0.134,0.259,0.422
19,"{'lr': 0.004416495028135528, 'train_type': 'predictor_and_readout', 'weight_decay': 0.14660573521027043}",0.23001544177532196,3,abc,0.232,0.23,0.399,-0.005,0.338,0.455,0.21232378482818604,4,abc,0.368,0.212,0.366,-0.598,0.478,0.544
20,"{'lr': 0.01230771066451632, 'train_type': 'only_predictor', 'weight_decay': 0.00022802986605467763}",0.08549703657627106,43,abc,0.714,0.085,0.23,0.765,0.079,0.228,0.10700268298387527,34,abc,0.682,0.107,0.248,0.808,0.058,0.191
