,params,cv_0_loss,cv_0_best_epoch,cv_0_run_name,cv_0_r^2,cv_0_mse,cv_0_mae,cv_0_train_r^2,cv_0_train_mse,cv_0_train_mae,cv_1_loss,cv_1_best_epoch,cv_1_run_name,cv_1_r^2,cv_1_mse,cv_1_mae,cv_1_train_r^2,cv_1_train_mse,cv_1_train_mae
0,"{'lr': 0.005906997940699461, 'train_type': 'all_layers', 'weight_decay': 0.0002856536211078605}",0.06938010454177856,14,abc,0.768,0.069,0.207,0.537,0.155,0.313,0.07363756000995636,44,abc,0.781,0.074,0.212,0.808,0.058,0.187
1,"{'lr': 0.0027352938403382276, 'train_type': 'all_layers', 'weight_decay': 0.04759055619043707}",0.09290650486946106,12,abc,0.69,0.093,0.254,0.515,0.163,0.31,0.10620412230491638,13,abc,0.684,0.106,0.232,0.442,0.167,0.313
2,"{'lr': 0.0033185689966789425, 'train_type': 'all_layers', 'weight_decay': 5.291313745562589e-05}",0.05384184792637825,25,abc,0.82,0.054,0.187,0.754,0.083,0.217,0.07490028440952301,43,abc,0.777,0.075,0.212,0.827,0.052,0.183
3,"{'lr': 0.0032035597311411246, 'train_type': 'all_layers', 'weight_decay': 0.3360826648428368}",0.0984179750084877,5,abc,0.671,0.098,0.252,0.368,0.212,0.364,0.145817831158638,11,abc,0.566,0.146,0.29,0.484,0.155,0.321
4,"{'lr': 0.00958543720814485, 'train_type': 'predictor_and_readout', 'weight_decay': 0.08515784549883512}",0.10991209000349045,3,abc,0.633,0.11,0.278,0.01,0.333,0.456,0.12534569203853607,4,abc,0.627,0.125,0.257,0.289,0.213,0.381
5,"{'lr': 0.0004294406838493497, 'train_type': 'only_predictor', 'weight_decay': 0.00019637946711246215}",0.0782540887594223,32,abc,0.739,0.078,0.229,0.651,0.117,0.262,0.07182540744543076,32,abc,0.786,0.072,0.194,0.53,0.141,0.308
6,"{'lr': 0.02630565933729432, 'train_type': 'all_layers', 'weight_decay': 0.00877447345917808}",0.22606535255908966,33,abc,0.245,0.226,0.389,0.278,0.243,0.392,0.14764852821826935,4,abc,0.561,0.148,0.283,-3.006,1.2,0.977
7,"{'lr': 0.04608019705962571, 'train_type': 'predictor_and_readout', 'weight_decay': 0.00014492833483714014}",0.07836810499429703,57,abc,0.738,0.078,0.215,0.644,0.12,0.269,0.25365495681762695,41,abc,0.245,0.254,0.389,0.042,0.287,0.431
8,"{'lr': 0.00013456470846338238, 'train_type': 'all_layers', 'weight_decay': 0.07173396481169607}",0.11776835471391678,47,abc,0.607,0.118,0.269,-0.012,0.34,0.438,0.0864289402961731,86,abc,0.743,0.086,0.222,0.105,0.268,0.402
9,"{'lr': 0.0030704972103163274, 'train_type': 'predictor_and_readout', 'weight_decay': 0.0002885939380124871}",0.0768294557929039,44,abc,0.743,0.077,0.212,0.807,0.065,0.192,0.08820229023694992,19,abc,0.737,0.088,0.226,0.7,0.09,0.248
10,"{'lr': 0.00021558438801137572, 'train_type': 'predictor_and_readout', 'weight_decay': 0.06076581780136751}",0.07911176234483719,235,abc,0.736,0.079,0.235,0.526,0.159,0.301,0.08996616303920746,50,abc,0.732,0.09,0.231,0.35,0.194,0.349
11,"{'lr': 0.0023399577392902078, 'train_type': 'all_layers', 'weight_decay': 0.00021144345094908942}",0.06765176355838776,30,abc,0.774,0.068,0.206,0.694,0.103,0.232,0.08287545293569565,24,abc,0.753,0.083,0.213,0.687,0.094,0.246
12,"{'lr': 0.006042300931620476, 'train_type': 'all_layers', 'weight_decay': 0.0002471490688562818}",0.07841533422470093,8,abc,0.738,0.078,0.224,0.563,0.147,0.319,0.10116174072027206,7,abc,0.699,0.101,0.238,0.499,0.15,0.312
13,"{'lr': 0.0008121558138801228, 'train_type': 'only_predictor', 'weight_decay': 0.0001193695722936469}",0.07352809607982635,78,abc,0.754,0.074,0.209,0.747,0.085,0.215,0.06838303804397583,69,abc,0.796,0.068,0.186,0.632,0.11,0.267
14,"{'lr': 0.00010218303960830731, 'train_type': 'only_predictor', 'weight_decay': 0.0037393606170389826}",0.13814134895801544,8,abc,0.539,0.138,0.284,-0.805,0.607,0.634,0.081780344247818,113,abc,0.757,0.082,0.214,0.33,0.201,0.349
15,"{'lr': 0.0019643135140186988, 'train_type': 'only_predictor', 'weight_decay': 0.004576182185430037}",0.08067815750837326,16,abc,0.731,0.081,0.225,0.468,0.179,0.335,0.09530110657215118,28,abc,0.716,0.095,0.227,0.551,0.134,0.289
16,"{'lr': 0.014186270866158538, 'train_type': 'all_layers', 'weight_decay': 0.0005586295871484}",0.11283598840236664,4,abc,0.623,0.113,0.287,-0.277,0.429,0.551,0.16735440492630005,4,abc,0.502,0.167,0.318,-0.055,0.316,0.457
17,"{'lr': 0.0063002568699939915, 'train_type': 'only_predictor', 'weight_decay': 0.00186280144307166}",0.07949472963809967,7,abc,0.735,0.079,0.224,0.242,0.255,0.404,0.11260625720024109,5,abc,0.665,0.113,0.238,0.447,0.165,0.339
18,"{'lr': 0.010718204548366946, 'train_type': 'only_predictor', 'weight_decay': 0.0004826434947753001}",0.0986652746796608,3,abc,0.671,0.099,0.247,0.336,0.223,0.383,0.07700217515230179,5,abc,0.771,0.077,0.211,-0.189,0.356,0.496
19,"{'lr': 0.00047682378113081956, 'train_type': 'all_layers', 'weight_decay': 9.760235842605817e-05}",0.07593131065368652,46,abc,0.746,0.076,0.221,0.651,0.117,0.27,0.07175309956073761,40,abc,0.786,0.072,0.193,0.592,0.122,0.274
20,"{'lr': 0.001084833481748938, 'train_type': 'only_predictor', 'weight_decay': 4.600338800584302e-05}",0.09113842993974686,15,abc,0.696,0.091,0.246,0.581,0.141,0.293,0.07468291372060776,40,abc,0.778,0.075,0.195,0.74,0.078,0.222
21,"{'lr': 0.0009727997660727445, 'train_type': 'only_predictor', 'weight_decay': 4.760367181442339e-05}",0.08167288452386856,20,abc,0.727,0.082,0.236,0.582,0.141,0.28,0.07066337764263153,46,abc,0.79,0.071,0.188,0.75,0.075,0.22
22,"{'lr': 0.0009698733368115476, 'train_type': 'only_predictor', 'weight_decay': 6.209834460882582e-05}",0.08803021907806396,20,abc,0.706,0.088,0.237,0.622,0.127,0.263,0.0750533863902092,20,abc,0.777,0.075,0.199,0.685,0.094,0.247
