,RPCS,PBF,mol_weight,dipole_moment,PPSA5,avg_atoms_in_cycle,FPSA3,chirality,sasa,PNSA5,GeomShapeIndex,TASA,f_freedom,f_to_fg,angle_R1X1R2,angle_X2X1R1,angle_X1X2R2,angle_R2X2R1,distance_between_atoms_in_cycle_and_f_group,distance_between_atoms_in_f_group_centers,nHRing,cis/trans,nF,mol_num_cycles,nFRing,identificator,nO,nARing,nC,nFHRing,fold_id,pKa
0,-0.6257656762335436,1.667275728392163,1.5201586777987777,-0.14931985744662954,0.7994964915232539,1.3421535377361635,0.4364443684019494,-1.140175425099138,1.2689506800225396,-1.5552760310344433,-0.2408223609079698,-1.0875830031277478,-1.1677484162422846,0.6223048602337667,2.0,1.0,4.0,4.0,4.0,4.0,0,0,2,1,0,0,2,1,7,0,1,4.32
1,-0.6839580105686609,0.6948212394693241,0.1303336971903894,-0.8479412774953072,1.251633775630353,1.3421535377361635,0.9155744202561483,-1.140175425099138,0.9389450415041937,0.4151732839525151,0.0831866158145355,0.00011094412835620271,0.8563488385776755,-1.5350186552432914,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,2,1,7,0,0,4.85
2,-0.6875268112843488,0.7791005796959939,0.05246239953589122,-0.9056356520160063,1.171812417580158,-0.48379953104443124,0.8891054105767595,2.280350850198276,0.4025039219526258,0.278451620166351,-0.16107529233429277,-0.15175939573602726,0.8563488385776755,-1.5350186552432914,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,1,0,2,2,7,0,1,4.35
3,-0.5978123994364378,1.774964292510078,1.4422873801442795,1.3111634160520633,1.377108946487688,-0.48379953104443124,0.6613988238952477,2.280350850198276,0.6549631173974176,-1.5550040884974972,0.2817107127721312,-1.2112695805072236,-1.1677484162422846,0.6223048602337667,2.0,3.0,4.0,3.0,4.0,4.0,0,1,2,2,1,0,2,2,7,0,1,3.8
4,-0.3645498985277247,-0.1300755613514122,1.4422873801442795,0.3495612603661538,1.3098207667188289,-0.48379953104443124,0.9518266716527998,2.280350850198276,0.6587351238096885,-1.6426012755405068,1.727472449598179,-1.3766288354260892,-1.1677484162422846,0.6223048602337667,4.0,4.0,2.0,3.0,4.0,4.0,0,2,2,2,1,0,2,2,7,0,1,3.76
5,-0.47612753834726534,0.1802991239399929,-0.9532979418965651,-0.7125909204840947,0.8360780871674787,0.12485149188243365,1.6644859318216065,-1.140175425099138,-0.9612632905482792,-0.12061810844974225,-0.10217293207854988,-0.8429225115445143,0.8563488385776755,-1.5350186552432914,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,2,1,5,0,0,4.5
6,-0.6332406847068748,1.0369137518012617,0.2834110546332352,-1.5154205191519345,1.197260723626548,0.12485149188243365,1.1425201237727618,-1.140175425099138,0.3311530282872912,-0.8187275807069394,0.5442393246934643,-0.8756579612561175,0.8563488385776755,-0.4563568975047624,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,2,1,6,0,0,3.66
7,-0.6885793073710885,1.2383312287935908,0.9783428582553007,0.17240384385103946,1.8097513444894153,0.12485149188243365,0.7897915549840223,-1.140175425099138,0.4376226084032248,-1.3032769738902823,-0.02897838093122621,-1.266296977749647,0.8563488385776755,-0.4563568975047624,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,1,0,0,2,1,6,0,0,3.08
8,-0.874628142347496,1.0933145722798632,1.6732360352416245,0.5616688100378322,1.7753355134300466,0.12485149188243365,-0.07476568654079614,-1.140175425099138,0.5854671941280015,-1.6005220978909247,0.5418120819397498,0.08898195712388261,-1.1677484162422846,-0.4563568975047624,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,1,0,0,2,1,6,0,1,2.9
9,-0.8955943154901141,0.21822913068718244,1.6732360352416245,-0.8406318157614654,0.853408046879376,0.12485149188243365,0.1054925799094225,-1.140175425099138,0.5564687532019723,-2.2688454623973144,-0.3066466553952254,0.11508693319655877,-1.1677484162422846,0.6223048602337667,3.0,1.0,3.0,4.0,3.0,4.0,0,2,3,1,0,0,2,1,6,0,0,3.83
10,-0.8872210846338037,0.08299676739892017,1.6732360352416245,0.046621173829559,1.243572675894698,0.12485149188243365,0.3477937761025925,-1.140175425099138,0.5581308247854035,-2.1557659192009138,0.08360032770801151,0.11714771734803915,-1.1677484162422846,0.6223048602337667,3.0,3.0,3.0,3.0,2.0,4.0,0,1,3,1,0,0,2,1,6,0,1,3.88
11,-0.35535694856723676,0.2680818895432761,0.9783428582553007,-0.24071071367010602,1.143048601430618,0.12485149188243365,1.3513695444066387,-1.140175425099138,0.4661621926665704,-1.8334503281817045,-0.03385863442257792,-1.5224676876236514,0.8563488385776755,0.6223048602337667,3.0,1.0,3.0,4.0,2.0,4.0,0,2,2,1,0,0,2,1,6,0,1,4.11
12,-0.29282947554375566,0.6838199146084588,0.9783428582553007,-0.9954007239542189,1.0282447342629883,0.12485149188243365,0.9685843407796897,-1.140175425099138,0.4400448253258343,-2.0623909999773535,0.6395524663737814,-1.633332218684927,0.8563488385776755,0.6223048602337667,3.0,3.0,3.0,3.0,2.0,4.0,0,1,2,1,0,0,2,1,6,0,0,3.92
13,-0.385898607901039,-0.2529999058638246,0.2834110546332352,1.045599461181673,1.2550176378708944,0.12485149188243365,1.5984482445053807,-1.140175425099138,0.35683796098430387,-0.7706757659404493,1.3737577073085916,-1.0640353705226566,0.8563488385776755,0.6223048602337667,4.0,3.0,1.0,2.0,3.0,4.0,0,2,1,1,0,0,2,1,6,0,0,4.18
14,-0.36621079086970143,-0.25993969168886205,0.2834110546332352,-0.344397918793027,1.489934849790352,0.12485149188243365,1.6905349869355346,-1.140175425099138,0.3170240472387154,-0.737260833283196,0.2905383052882779,-1.0120643408764989,0.8563488385776755,0.6223048602337667,3.0,3.0,3.0,3.0,2.0,4.0,0,1,1,1,0,0,2,1,6,0,0,4.12
15,-0.17419737135967778,-0.6315250578927668,-0.10528878083165451,0.9568501968142161,1.6305693408154305,-0.48379953104443124,1.8647246519171918,0.0,-1.8051581698435024,-3.057762068584802,-0.5119436107745937,-2.4817896313689105,-1.1677484162422846,0.6223048602337667,2.0,2.0,4.0,3.0,1.0,1.0,0,0,2,1,0,0,2,1,4,0,0,3.25
16,-0.39215151776019647,-0.5976711604100291,0.4365270387118236,1.143490347652592,1.4977650747056055,0.12485149188243365,1.0774721931612974,0.0,-0.6818421930029881,-2.0232525875735354,0.5996314497057091,-1.8546235483515618,-1.1677484162422846,0.6223048602337667,2.0,2.0,2.0,2.0,2.0,1.0,0,0,2,1,0,0,2,1,5,0,1,3.62
17,-0.4294769520702251,-0.38035174279931044,0.4365270387118236,-0.5616171563071649,0.9801060216483494,0.12485149188243365,0.9528583322555392,-1.140175425099138,-0.6916635775222351,-2.848728973760603,-0.07788616388213551,-1.9145805707492496,-1.1677484162422846,-0.4563568975047624,4.0,3.0,4.0,4.0,2.0,3.0,0,0,2,1,0,0,2,1,5,0,0,4.02
18,-0.6289982626042028,0.6446806171106386,0.9783428582553007,0.8627933453791413,1.6113587545182184,0.7335025148092985,0.5481262819132782,0.0,0.11761648042559214,-1.4498845251813295,0.7878028592536158,-1.2832822750901773,-1.1677484162422846,0.6223048602337667,2.0,1.0,2.0,2.0,1.0,1.0,0,0,2,1,0,0,2,1,6,0,1,3.76
19,-0.5559874817848308,1.3919345485247898,0.9783428582553007,1.553328532542291,0.6325592865466501,0.7335025148092985,0.4483657837234957,0.0,0.07055590600709162,-2.239018885614049,-0.12399391073217926,-1.5497632046870649,-1.1677484162422846,0.6223048602337667,1.0,1.0,3.0,2.0,3.0,2.0,0,0,2,1,0,0,2,1,6,0,1,3.98
20,-0.34178773621805414,-0.9417322953544949,1.5201586777987777,0.5339593000353572,1.9771314002355456,1.3421535377361635,0.802764002839085,0.0,1.218620863591911,-0.9185772849267175,1.1228518535951308,-0.8468150896300791,-1.1677484162422846,0.6223048602337667,2.0,1.0,2.0,2.0,1.0,1.0,0,0,2,1,0,0,2,1,7,0,0,3.81
21,-0.415288408123096,2.471112303562299,2.0619744973422556,0.29027710003583845,1.772506548211268,1.9508045606630284,0.5571737056336717,0.0,2.0907202398894578,-0.6648134015296647,-0.14372100781373529,-0.4827275819589384,-1.1677484162422846,-0.4563568975047624,2.0,1.0,2.0,2.0,2.0,1.0,0,0,2,1,0,0,2,1,8,0,1,3.78
22,-0.3459360943113224,0.7984498806313001,2.0619744973422556,1.4796001165095505,0.992693238210216,1.9508045606630284,0.597423639823724,0.0,2.1525155053998866,-1.1221217233090368,-0.0592244707752522,-0.666929872587032,-1.1677484162422846,0.6223048602337667,1.0,1.0,3.0,2.0,3.0,2.0,0,0,2,1,0,0,2,1,8,0,1,4.09
