,fold_id,pKa,Smiles
0,0,4.32,FC1(F)CCC(C(O)=O)CC1
1,1,4.85,OC(C1CCCCC1)=O
2,1,4.35,OC([C@@H]1C[C@H]2C[C@H]2C1)=O
3,0,4.24,OC([C@H]1C[C@H]2C[C@H]2C1)=O
4,0,3.8,OC([C@H]1C[C@H]2C(F)(F)[C@H]2C1)=O
5,1,3.76,OC([C@@H]1C[C@H]2C(F)(F)[C@H]2C1)=O
6,0,4.5,O=C(O)C1CCC1
7,1,3.66,O=C(O)C1(CF)CCC1
8,0,3.08,O=C(O)C1(C(F)F)CCC1
9,1,2.9,O=C(O)C1(C(F)(F)F)CCC1
10,1,3.83,FC(F)(F)[C@@H]1C[C@@H](C(O)=O)C1
11,1,3.88,FC(F)(F)[C@H]1C[C@@H](C(O)=O)C1
12,0,4.11,[H]C(F)(F)[C@@H]1C[C@@H](C(O)=O)C1
13,0,3.92,[H]C(F)(F)[C@H]1C[C@@H](C(O)=O)C1
14,1,4.18,[H]C(F)([H])[C@@H]1C[C@@H](C(O)=O)C1
15,1,4.12,[H]C(F)([H])[C@H]1C[C@@H](C(O)=O)C1
16,0,3.25,FC1(F)CC1C(O)=O
17,1,3.62,FC1(F)CCC1C(O)=O
19,0,3.76,FC1(F)C(C(O)=O)CCC1
20,0,3.98,FC1(F)CC(C(O)=O)CC1
21,0,3.81,FC1(F)C(C(O)=O)CCCC1
23,0,3.78,FC1(F)C(C(O)=O)CCCCC1
24,1,4.09,FC1(F)CC(C(O)=O)CCCC1
25,1,4.36,FC1(F)CCC(C(O)=O)CCC1
27,0,4.17,CC(F)(F)CCC(O)=O
28,0,4.38,OC(CCCC(F)F)=O
29,0,4.6,O=C(O)C1CC1
30,0,4.5,OC(C1CCC1)=O
31,1,4.69,O=C(O)C1CCCC1
32,0,5.08,OC(C1CCCCCC1)=O
33,1,4.75,CCCCC(O)=O
34,0,4.59,O=C(O)C(C1)CC21CCC2
39,1,3.59,OC(C12OCC(C2)C1)=O
41,0,3.87,FC(F)(F)[C@@H]1CC[C@H]1C(O)=O
42,1,4.26,FC(F)([H])[C@@H]1CC[C@H]1C(O)=O
43,0,4.38,FC([H])([H])[C@@H]1CC[C@H]1C(O)=O
44,1,3.88,FC(F)(F)[C@@H]1C[C@H]1C(O)=O
45,0,3.76,FC(F)(F)[C@@H]1C[C@@H]1C(O)=O
46,1,4.18,FC(F)([H])[C@@H]1C[C@H]1C(O)=O
47,0,4.17,FC(F)([H])[C@@H]1C[C@@H]1C(O)=O
48,1,4.35,FC([H])([H])[C@@H]1C[C@H]1C(O)=O
49,1,4.79,C[C@@H]1C[C@H]1C(O)=O
50,0,4.83,C[C@@H]1C[C@@H]1C(O)=O
54,1,3.85,OC(C1C2(CC2(F)F)C1)=O
55,1,8.89,N[C@@H]1C[C@H]2C(F)(F)[C@H]2C1
56,1,8.95,N[C@H]1C[C@H]2C(F)(F)[C@H]2C1
57,1,9.45,NC1CCC(F)(F)CC1
58,1,10.58,NC1CCCCC1
59,0,9.79,N[C@H]1C[C@H]2C[C@H]2C1
60,1,9.77,N[C@@H]1C[C@H]2C[C@H]2C1
61,1,6.52,FC(F)(C1(NC2)CC2C1)F
62,0,6.06,FC(F)(C1CCCN1)F
64,1,11.29,C1CCCN1
66,0,6.23,FC(F)(F)C12CCC(C2)CN1
67,0,6.56,FC(F)(F)C12CCC(CC2)CN1
68,1,6.41,FC(F)(F)C1CCCCN1
69,1,10.42,C12CCC(C2)CN1
70,1,11.27,CC12CCC(CC2)CN1
72,1,11.12,C1CCNCC1
73,0,5.96,FC(F)(F)C12CCCC(C2)CN1
74,0,10.38,C12CCCC(C2)CN1
75,0,10.99,CC12CCCC(C2)CN1
76,0,9.41,FC1(F)CC2CC(C1)CNC2
77,0,6.37,FC1(F)C2CNCC1CC(F)(F)C2
78,0,7.72,FC1(F)C2CNCC1CCC2
79,1,10.86,C1(CCC2)CC2CNC1
80,0,8.05,FC1(F)C2CNCC1COC2
81,0,10.4,C1(COC2)CC2CNC1
84,1,7.69,FC1(F)C2CNCC1CC2
85,1,10.53,C1(CC2)CC2CNC1
86,0,7.75,FC1(F)CCNCC1
87,0,11.13,C1CCN1
88,0,8.55,FC1CNC1
89,1,6.44,FC1(F)CNC1
90,0,11.21,C1NCCC1
91,1,8.87,FC1CNCC1
92,1,6.88,FC1(F)CNCC1
93,1,7.07,F[C@H]1CNC[C@H]1F
95,0,8.64,FC1CNCCC1
97,0,6.74,F[C@@H]1CNC[C@H](F)C1
98,1,6.22,F[C@@H]1CNC[C@@H](F)C1
99,0,9.05,FC1CCNCC1
100,0,7.01,F[C@H]1[C@@H](F)CNCC1
