,fold_id,pKa,Smiles,identificator
0,0,4.32,FC1(F)CCC(C(O)=O)CC1,Carboxylic acid
1,1,4.85,OC(C1CCCCC1)=O,Carboxylic acid
2,1,4.35,OC([C@@H]1C[C@H]2C[C@H]2C1)=O,Carboxylic acid
3,0,4.24,OC([C@H]1C[C@H]2C[C@H]2C1)=O,Carboxylic acid
4,0,3.8,OC([C@H]1C[C@H]2C(F)(F)[C@H]2C1)=O,Carboxylic acid
5,1,3.76,OC([C@@H]1C[C@H]2C(F)(F)[C@H]2C1)=O,Carboxylic acid
6,0,4.5,O=C(O)C1CCC1,Carboxylic acid
7,1,3.66,O=C(O)C1(CF)CCC1,Carboxylic acid
8,0,3.08,O=C(O)C1(C(F)F)CCC1,Carboxylic acid
9,1,2.9,O=C(O)C1(C(F)(F)F)CCC1,Carboxylic acid
10,1,3.83,FC(F)(F)[C@@H]1C[C@@H](C(O)=O)C1,Carboxylic acid
11,1,3.88,FC(F)(F)[C@H]1C[C@@H](C(O)=O)C1,Carboxylic acid
12,0,4.11,[H]C(F)(F)[C@@H]1C[C@@H](C(O)=O)C1,Carboxylic acid
13,0,3.92,[H]C(F)(F)[C@H]1C[C@@H](C(O)=O)C1,Carboxylic acid
14,1,4.18,[H]C(F)([H])[C@@H]1C[C@@H](C(O)=O)C1,Carboxylic acid
15,1,4.12,[H]C(F)([H])[C@H]1C[C@@H](C(O)=O)C1,Carboxylic acid
16,0,3.25,FC1(F)CC1C(O)=O,Carboxylic acid
17,1,3.62,FC1(F)CCC1C(O)=O,Carboxylic acid
19,0,3.76,FC1(F)C(C(O)=O)CCC1,Carboxylic acid
20,0,3.98,FC1(F)CC(C(O)=O)CC1,Carboxylic acid
21,0,3.81,FC1(F)C(C(O)=O)CCCC1,Carboxylic acid
23,0,3.78,FC1(F)C(C(O)=O)CCCCC1,Carboxylic acid
24,1,4.09,FC1(F)CC(C(O)=O)CCCC1,Carboxylic acid
25,1,4.36,FC1(F)CCC(C(O)=O)CCC1,Carboxylic acid
27,0,4.17,CC(F)(F)CCC(O)=O,Carboxylic acid
28,0,4.38,OC(CCCC(F)F)=O,Carboxylic acid
29,0,4.6,O=C(O)C1CC1,Carboxylic acid
30,0,4.5,OC(C1CCC1)=O,Carboxylic acid
31,1,4.69,O=C(O)C1CCCC1,Carboxylic acid
32,0,5.08,OC(C1CCCCCC1)=O,Carboxylic acid
33,1,4.75,CCCCC(O)=O,Carboxylic acid
34,0,4.59,O=C(O)C(C1)CC21CCC2,Carboxylic acid
39,1,3.59,OC(C12OCC(C2)C1)=O,Carboxylic acid
41,0,3.87,FC(F)(F)[C@@H]1CC[C@H]1C(O)=O,Carboxylic acid
42,1,4.26,FC(F)([H])[C@@H]1CC[C@H]1C(O)=O,Carboxylic acid
43,0,4.38,FC([H])([H])[C@@H]1CC[C@H]1C(O)=O,Carboxylic acid
44,1,3.88,FC(F)(F)[C@@H]1C[C@H]1C(O)=O,Carboxylic acid
45,0,3.76,FC(F)(F)[C@@H]1C[C@@H]1C(O)=O,Carboxylic acid
46,1,4.18,FC(F)([H])[C@@H]1C[C@H]1C(O)=O,Carboxylic acid
47,0,4.17,FC(F)([H])[C@@H]1C[C@@H]1C(O)=O,Carboxylic acid
48,1,4.35,FC([H])([H])[C@@H]1C[C@H]1C(O)=O,Carboxylic acid
49,1,4.79,C[C@@H]1C[C@H]1C(O)=O,Carboxylic acid
50,0,4.83,C[C@@H]1C[C@@H]1C(O)=O,Carboxylic acid
54,1,3.85,OC(C1C2(CC2(F)F)C1)=O,Carboxylic acid
