,fold_id,pKa,Smiles
0,1,4.32,O=C(O)C1CCC(F)(F)CC1
1,0,4.85,O=C(O)C1CCCCC1
2,1,4.35,O=C(O)[C@H]1C[C@@H]2C[C@@H]2C1
4,1,3.8,O=C(O)[C@H]1C[C@@H]2[C@H](C1)C2(F)F
5,1,3.76,O=C(O)[C@@H]1C[C@@H]2[C@H](C1)C2(F)F
6,0,4.5,O=C(O)C1CCC1
7,0,3.66,O=C(O)C1(CF)CCC1
8,0,3.08,O=C(O)C1(C(F)F)CCC1
9,1,2.9,O=C(O)C1(C(F)(F)F)CCC1
10,0,3.83,O=C(O)[C@H]1C[C@H](C(F)(F)F)C1
11,1,3.88,O=C(O)[C@H]1C[C@@H](C(F)(F)F)C1
12,1,4.11,O=C(O)[C@H]1C[C@H](C(F)F)C1
13,0,3.92,O=C(O)[C@H]1C[C@@H](C(F)F)C1
14,0,4.18,O=C(O)[C@H]1C[C@H](CF)C1
15,0,4.12,O=C(O)[C@H]1C[C@@H](CF)C1
16,0,3.25,O=C(O)C1CC1(F)F
17,1,3.62,O=C(O)C1CCC1(F)F
18,0,4.02,O=C(O)C1CC(F)(F)C1
19,1,3.76,O=C(O)C1CCCC1(F)F
20,1,3.98,O=C(O)C1CCC(F)(F)C1
21,0,3.81,O=C(O)C1CCCCC1(F)F
23,1,3.78,O=C(O)C1CCCCCC1(F)F
24,1,4.09,O=C(O)C1CCCCC(F)(F)C1
25,0,4.36,O=C(O)C1CCCC(F)(F)CC1
26,0,3.55,CCC(F)(F)CC(=O)O
27,1,4.17,CC(F)(F)CCC(=O)O
29,1,4.6,O=C(O)C1CC1
30,1,4.69,O=C(O)C1CCCC1
31,0,5.08,O=C(O)C1CCCCCC1
32,0,4.75,CCCCC(=O)O
33,1,4.59,O=C(O)C1CC2(CCC2)C1
35,0,4.35,O=C(O)C1CC2(C1)CC(F)(F)C2
40,0,3.87,O=C(O)[C@@H]1CC[C@H]1C(F)(F)F
41,0,4.26,O=C(O)[C@@H]1CC[C@H]1C(F)F
42,0,4.38,O=C(O)[C@@H]1CC[C@H]1CF
43,1,3.88,O=C(O)[C@@H]1C[C@H]1C(F)(F)F
44,1,3.76,O=C(O)[C@H]1C[C@H]1C(F)(F)F
45,0,4.18,O=C(O)[C@@H]1C[C@H]1C(F)F
46,1,4.17,O=C(O)[C@H]1C[C@H]1C(F)F
47,1,4.35,O=C(O)[C@@H]1C[C@H]1CF
48,1,4.79,C[C@@H]1C[C@H]1C(=O)O
49,1,4.83,C[C@@H]1C[C@@H]1C(=O)O
52,0,3.51,O=C(O)C1C(F)(F)C12CC2
