,fold_id,pKa,Smiles
54,0,8.89,N[C@@H]1C[C@@H]2[C@H](C1)C2(F)F
55,0,8.95,N[C@H]1C[C@@H]2[C@H](C1)C2(F)F
56,1,9.45,NC1CCC(F)(F)CC1
57,1,10.58,NC1CCCCC1
58,0,9.79,N[C@@H]1C[C@@H]2C[C@@H]2C1
59,1,9.77,N[C@H]1C[C@@H]2C[C@@H]2C1
60,0,6.52,FC(F)(F)C12CC(CN1)C2
62,0,11.23,C1NC2CC1C2
63,0,11.27,C1CCNC1
64,0,11.28,CC12CC(CN1)C2
66,1,6.56,FC(F)(F)C12CCC(CC1)CN2
68,1,10.42,C1CC2CC1CN2
70,0,10.89,C1CC2CCC1CN2
71,0,11.12,C1CCNCC1
72,1,5.96,FC(F)(F)C12CCCC(CN1)C2
73,1,10.38,C1CC2CNC(C1)C2
75,1,9.41,FC1(F)CC2CNCC(C2)C1
76,1,6.37,FC1(F)CC2CNCC(C1)C2(F)F
77,0,7.72,FC1(F)C2CCCC1CNC2
78,1,10.86,C1CC2CNCC(C1)C2
79,0,8.05,FC1(F)C2CNCC1COC2
80,1,10.4,C1NCC2COCC1C2
84,1,10.53,C1CC2CNCC1C2
86,0,11.21,C1CNC1
88,0,6.44,FC1(F)CNC1
89,1,8.87,FC1CCNC1
90,0,6.88,FC1(F)CCNC1
91,1,7.07,F[C@@H]1CNC[C@@H]1F
92,1,7.11,F[C@@H]1CNC[C@H]1F
93,0,8.64,FC1CCCNC1
94,0,6.79,FC1(F)CCCNC1
95,1,6.74,F[C@@H]1CNC[C@H](F)C1
96,1,6.22,F[C@@H]1CNC[C@@H](F)C1
97,0,9.05,FC1CCNCC1
98,1,7.01,F[C@@H]1CCNC[C@@H]1F
99,0,7.02,F[C@@H]1CCNC[C@H]1F
100,0,5.0,NC1(C(F)(F)F)CCC1
101,0,6.62,NC1(C(F)F)CCC1
102,0,8.1,NC1(CF)CCC1
103,0,9.86,NC1CCC1
104,0,8.74,N[C@H]1C[C@H](C(F)(F)F)C1
105,1,8.6,N[C@H]1C[C@@H](C(F)(F)F)C1
106,1,9.17,N[C@H]1C[C@H](C(F)F)C1
107,0,9.04,N[C@H]1C[C@@H](C(F)F)C1
108,0,9.58,N[C@H]1C[C@H](CF)C1
109,0,9.48,N[C@H]1C[C@@H](CF)C1
110,1,7.99,FC(F)C1CCCCN1
112,0,7.78,FC(F)C1CCCN1
114,0,5.84,FC(F)(F)C1CCN1
115,0,7.83,FC(F)C1CCN1
119,1,8.96,NCCF
121,0,9.01,FC(F)(F)C1CCCNC1
122,1,9.55,FC(F)C1CCCNC1
123,1,10.32,FCC1CCCNC1
125,1,9.75,FC(F)C1CCNC1
126,1,10.38,FCC1CCNC1
127,1,8.67,FC(F)(F)C1CNC1
128,1,9.57,FC(F)C1CNC1
129,0,10.05,FCC1CNC1
131,1,9.02,NCCC(F)F
132,1,10.05,NCCCF
133,0,10.75,CCN
135,0,10.19,FC(F)C1CCNCC1
136,1,10.46,FCC1CCNCC1
137,0,10.36,NCCCCF
138,0,10.02,NCCCC(F)F
139,0,9.74,NCCCC(F)(F)F
140,1,10.03,CCCN
142,1,7.2,NC1CCC1(F)F
143,1,8.37,NC1CC(F)(F)C1
146,0,7.45,NC1CCCCC1(F)F
147,0,9.12,NC1CCCC(F)(F)C1
148,1,8.13,NC1CCCCCC1(F)F
149,1,9.35,NC1CCCCC(F)(F)C1
150,0,9.57,NC1CCCC(F)(F)CC1
151,1,7.59,CCC(F)(F)CN
152,0,9.57,CC(F)(F)CCN
153,1,8.76,NC1CC1
154,1,10.52,NC1CCCC1
155,1,10.69,NC1CCCCCC1
157,0,10.21,NC1CC2(CCC2)C1
159,0,9.58,NC1CC2(C1)CC(F)(F)C2
160,1,7.95,N[C@@H]1CC[C@H]1C(F)(F)F
162,0,9.32,N[C@@H]1CC[C@H]1CF
163,0,7.18,N[C@@H]1C[C@H]1C(F)(F)F
164,1,6.92,N[C@H]1C[C@H]1C(F)(F)F
165,1,7.76,N[C@@H]1C[C@H]1C(F)F
166,0,7.16,N[C@H]1C[C@H]1C(F)F
167,1,9.44,C[C@@H]1C[C@H]1N
171,1,9.41,NC1CC12CC2
