,f_freedom,distance_between_atoms_in_cycle_and_f_group,PPSA5,mol_num_cycles,nFRing,angle_R1X1R2,nF,identificator,mol_weight,dipole_moment,nHRing,nO,PBF,nC,angle_X2X1R1,nARing,angle_R2X2R1,cis/trans,PNSA5,FPSA3,mol_volume,RPCS,GeomShapeIndex,WPSA5,TASA,f_to_fg,dihedral_angle,distance_between_atoms_in_f_group_centers,avg_atoms_in_cycle,angle_X1X2R2,nFHRing,chirality,fold_id,logP
1,1,,16.178954463003187,2,0,,0,0,128.171,0.5078535990288049,0,1,0.4808303885503841,13,,1,,0,-11.645423016221184,0.033182947143795,204.23200000000008,27.282694912264283,0.859999563218155,6.805737109070617,386.2170026031236,0.0,,,6.0,,0,0,0,2.88
2,1,,15.488152566630044,3,1,,0,0,126.155,0.5010310823904872,0,1,0.4828520954348051,13,,2,,2,-13.22107907766412,0.0296517445236834,196.65600000000003,16.638718018366784,0.9582739106695084,6.398578343043645,374.39293772710914,0.0,,,4.0,,0,3,1,2.87
3,1,,15.945792965693858,3,1,,0,0,126.155,0.50585224041505,0,1,0.6619857997173412,13,,2,,1,-12.411147886626113,0.0326247528294922,196.64800000000005,20.164803956033914,0.7543356260536737,6.565329147400505,380.7788516391349,0.0,,,4.0,,0,3,1,2.92
4,0,3.108984175273619,16.47288569623169,3,1,103.61050262439656,2,0,162.136,0.4938852929020028,0,1,0.5686488606279326,13,111.87620414509158,2,117.19209613828556,1,-24.041908046522217,0.0307486096621596,205.7680000000001,11.184997724580647,0.8917720547342379,7.112882414092715,315.3506123571293,2.0,2.0464016225144363e-06,4.371637768635094,4.0,138.26247289310174,0,3,0,2.37
5,0,2.933214634049942,16.751082185570393,3,1,178.38904006428888,2,0,162.136,0.3993679124901231,0,1,0.5092653146118479,13,171.0495963794899,2,134.6200472486615,2,-23.19550574153344,0.0312537988410824,207.80000000000004,13.42199726949678,0.8918694566760227,7.182593075064716,315.52335078887245,2.0,172.1344503338609,5.0479496628064044,4.0,131.59326334524167,0,3,0,2.88
6,1,,15.254802996841155,2,0,,0,0,100.117,0.5135142852675479,0,1,0.4735359524552176,11,,1,,0,-13.36263793066799,0.0347973760625621,173.22400000000005,21.742879230255003,0.9261913075297316,5.791747265071259,346.099749372459,0.0,,,5.0,,0,0,0,2.26
7,1,,16.376176513976084,2,0,,1,0,132.134,0.4090477991405749,0,1,0.4475335401801365,12,,1,,0,-18.235160264438463,0.0319990285780524,195.0480000000001,21.139894117148376,0.8696031334882842,6.58249358735881,339.3300350997094,1.0,,,5.0,,0,0,0,1.88
8,1,,17.81613507483048,2,0,,2,0,150.125,0.2483701142269038,0,1,0.6435379717816732,12,,1,,0,-22.541757407794844,0.0296496016271978,200.43200000000004,10.439979749174524,0.9487117122533276,7.325462733049752,316.2454746213596,1.0,,,5.0,,0,0,0,2.19
9,0,,17.77723217872871,2,0,,3,0,168.115,0.5912242784251608,0,1,0.7539504817986086,12,,1,,0,-25.30222225492349,0.0222630270540219,205.43200000000004,0.173454623770158,0.8376223997292591,7.375458070608578,392.43018029579554,1.0,,,5.0,,0,0,0,2.51
10,0,2.169807044815789,17.198535213955942,2,0,169.4421852352424,3,0,168.115,0.2146938248541984,0,1,0.4941620477744243,12,143.01822160227374,1,129.182435860883,2,-27.053688208613515,0.0282954279751068,205.96800000000005,0.8646745943733579,0.8450517584510517,7.407893301981969,396.41243364496336,2.0,179.99993918470847,4.6462373656677975,5.0,113.8216038280216,0,0,1,3.02
