,avg_atoms_in_cycle,chirality,PPSA5,tpsa+f,RPCS,mol_num_cycles,GeomShapeIndex,angle_R2X2R1,distance_between_atoms_in_f_group_centers,nC,nFARing,angle_R1X1R2,f_freedom,nFAHRing,cis/trans,dipole_moment,f_to_fg,identificator,nFRing,naRing,nFHRing,PBF,nARing,nF,dihedral_angle,nAHRing,nO,TASA,angle_X2X1R1,mol_volume,FPSA3,PNSA5,angle_X1X2R2,nHRing,fold_id,pKa
0,6.0,0,14.226839517068862,69.35046385130875,20.92354236027572,1,0.9480105509355536,176.20738886616874,1.6418532188585655,7,0,116.84824755409942,0,0,0,0.3645162106418635,2.0,0,0,0,0,0.599067910401728,1,2,177.37714121077377,0,2,150.0873028897533,111.45370089207896,139.38,0.0430794092975522,-28.942682930343423,154.50490918336376,0,0,4.32
1,6.0,0,13.888097806258338,37.3,16.72072983778262,1,0.8478666217071501,0.0,0.0,7,0,0.0,1,0,0,0.2534125643889748,0.0,0,0,0,0,0.5807023453619089,1,0,0.0,0,2,201.0448698508611,0.0,128.86,0.0464530009514433,-13.67650885498967,0.0,0,1,4.85
2,3.0,3,14.422664217950029,37.3,15.19776352121602,2,0.7124144704595539,0.0,0.0,7,1,0.0,1,0,2,0.2442372954813684,0.0,0,1,0,0,0.8125037251509408,2,0,0.0,0,2,196.99423106010576,0.0,122.04,0.0470225025317011,-13.789063102038476,0.0,0,0,4.35
3,3.0,3,14.472009242508014,37.3,17.778515817271572,2,0.8294732222987803,0.0,0.0,7,1,0.0,1,0,1,0.2461165758213561,0.0,0,1,0,0,0.6311312957986083,2,0,0.0,0,2,195.3931004192692,0.0,122.34,0.0476128489000869,-14.420449795431498,0.0,0,0,4.24
4,3.0,3,14.92007473347024,71.31501602232542,20.595645569371552,2,0.8004850388878918,131.7100546313876,1.858447673201752,7,1,123.731738974727,0,0,1,0.5967806967162913,2.0,0,1,0,0,0.7964923245058986,2,2,1.2099538459599175,0,2,137.36441803106385,130.16656374121976,132.52,0.0451859207676332,-29.793930518103025,146.9910021500618,0,0,3.8
5,3.0,3,14.721238775781188,71.54379598500583,21.43438226676678,2,0.8798207937895168,135.09594164283646,2.120074933236484,7,1,179.68239851077465,0,0,2,0.443854491125851,2.0,0,1,0,0,0.6888651599721769,2,2,178.17350777968704,0,2,132.84022962466886,170.17754544345078,132.44,0.0450266280175609,-30.891759065232336,131.7711972123317,0,1,3.76
6,4.0,0,13.637049631458243,37.3,15.75301298750428,1,0.6663346346635648,0.0,0.0,5,0,0.0,1,0,0,0.2749376521952997,0.0,0,0,0,0,0.7016151882984124,1,0,0.0,0,2,161.86023699331497,0.0,97.78,0.051031935789697,-17.451691745402464,0.0,0,0,4.5
7,4.0,0,14.533090158481006,52.53176724715814,9.852651933957173,1,0.7681413255079723,0.0,0.0,6,0,0.0,1,0,0,0.1472615628006759,1.0,0,0,0,0,0.7914635855727886,1,1,0.0,0,2,160.0972577919836,0.0,119.68,0.0464656204985072,-23.565672771545703,0.0,0,0,3.66
8,4.0,0,16.052588504511426,71.39419765658332,7.774418116543112,1,0.6778624096432074,0.0,0.0,6,0,0.0,1,0,0,0.415680682637275,1.0,0,0,0,0,0.8125898153874634,1,2,0.0,0,2,139.05925564526103,0.0,124.94,0.0433798439352485,-27.809313509685875,0.0,0,0,3.08
9,4.0,0,15.967207934441143,87.18599145218073,0.7873815420224571,1,0.767759046938773,0.0,0.0,6,0,0.0,0,0,0,0.477586507613744,1.0,0,0,0,0,0.7973793418068543,1,3,0.0,0,2,212.04828115840883,0.0,130.12,0.03581643481686,-30.412560021121227,0.0,0,1,2.9
