,f_to_fg,chirality,angle_R2X2R1,TASA,nC,nO,nHRing,angle_X2X1R1,dipole_moment,nF,PPSA5,angle_R1X1R2,RPCS,PBF,nFRing,avg_atoms_in_cycle,FPSA3,identificator,nARing,PNSA5,f_freedom,sasa,nN,GeomShapeIndex,angle_X1X2R2,mol_num_cycles,distance_between_atoms_in_cycle_and_f_group,distance_between_atoms_in_f_group_centers,mol_weight,cis/trans,dihedral_angle,nFHRing,no angle and distance,fold_id,pKa
0,2.0,0,4.0,148.6839598427413,7,2,0,1.0,0.364516121545594,2,13.54629612081959,2.0,10.133374775380174,0.8575808470078489,0,6.0,0.0402886555158001,0,1,-30.01629896857642,0,208.6973441923964,0,0.6444980444864561,4.0,1,4.0,4.0,164.152,0,4.0,0,0,1,4.32
1,0.0,0,0.0,207.262101377997,7,2,0,0.0,0.2534125311608576,0,14.667981632365152,0.0,7.947970236793534,0.7555822651366318,0,6.0,0.0444802306123161,0,1,-12.759278109290973,1,201.02345339100336,0,0.695527834498057,0.0,1,0.0,0.0,128.171,0,0.0,0,1,0,4.85
2,0.0,3,0.0,199.0830706074152,7,2,0,0.0,0.2442372439877207,0,14.469956687323048,0.0,7.813944451945974,0.7644221371122182,1,3.0,0.0442486716830187,0,2,-13.956674350812497,1,188.54914964486628,0,0.6570578081217727,0.0,2,0.0,0.0,126.155,2,0.0,0,1,1,4.35
4,2.0,3,3.0,142.02277555094315,7,2,0,3.0,0.5967805937274684,2,14.979266912647496,2.0,11.183155965269622,0.8688760602531923,1,3.0,0.0422566253599938,0,2,-30.01391731988497,0,194.41978963256204,0,0.7267943848339914,4.0,2,4.0,4.0,162.136,1,1.0,0,0,1,3.8
5,2.0,3,3.0,133.11729449789743,7,2,0,4.0,0.4438544896137945,2,14.812334923187578,4.0,19.943294804730822,0.6690606799804807,1,3.0,0.044797376309103,0,2,-30.78108573803124,0,194.5075031802453,0,0.9544946127206596,2.0,2,4.0,4.0,162.136,2,4.0,0,0,1,3.76
6,0.0,0,0.0,161.86023699331497,5,2,0,0.0,0.2749376521952997,0,13.637049631458243,0.0,15.75301298750428,0.7016151882984124,0,4.0,0.051031935789697,0,1,-17.451691745402464,1,156.83635614764145,0,0.6663346346635648,0.0,1,0.0,0.0,100.117,0,0.0,0,1,0,4.5
7,1.0,0,0.0,160.0972577919836,6,2,0,0.0,0.1472615628006759,1,14.533090158481006,0.0,9.852651933957173,0.7914635855727886,0,4.0,0.0464656204985072,0,1,-23.565672771545703,1,186.88996900471747,0,0.7681413255079723,0.0,1,0.0,0.0,132.134,0,0.0,0,1,0,3.66
8,1.0,0,0.0,139.05925564526103,6,2,0,0.0,0.415680682637275,2,16.052588504511426,0.0,7.774418116543112,0.8125898153874634,0,4.0,0.0433798439352485,0,1,-27.809313509685875,1,189.36579316077783,0,0.6778624096432074,0.0,1,0.0,0.0,150.125,0,0.0,0,1,0,3.08
9,1.0,0,0.0,212.04828115840883,6,2,0,0.0,0.477586507613744,3,15.967207934441143,0.0,0.7873815420224571,0.7973793418068543,0,4.0,0.03581643481686,0,1,-30.412560021121227,0,192.8037441349581,0,0.767759046938773,0.0,1,0.0,0.0,168.115,0,0.0,0,1,1,2.9
10,2.0,0,4.0,213.45417386105493,6,2,0,1.0,0.2545749739647915,3,13.680042689999947,3.0,0.0,0.7055935820871689,0,4.0,0.0373933888352312,0,1,-36.26567694948583,0,192.12941968984828,0,0.6341310479935681,3.0,1,3.0,4.0,168.115,2,4.0,0,0,0,3.83
