,angle_R1X1R2,f_to_fg,f_atom_fraction,PPSA5,nARing,angle_R2X2R1,nFaHRing,distance_between_atoms_in_f_group_centers,nFARing,mol_num_cycles,f_freedom,identificator,mol_volume,nO,WPSA5,nFAHRing,dihedral_angle,RPCS,FPSA3,PNSA5,nAHRing,avg_atoms_in_cycle,angle_X1X2R2,nFaRing,naRing,nFHRing,nHRing,PBF,nFRing,TASA,dipole_moment,chirality,mol_weight,nN,tpsa+f,naHRing,nC,GeomShapeIndex,cis/trans,angle_X2X1R1,logP
0,116.75886864016148,2.0,0.2857142857142857,16.16125888584867,1,176.49496275750613,0,4.173805796449201,0,2,0,0,213.1,1,7.003699974614713,0,176.65805953399007,0.0,0.0296126215817304,-22.15308068351929,0,6.0,154.69874310434002,0,1,0,0,0.6443729712918029,0,329.897046716825,0.7070674651408291,0,164.15,1,60.55572962686436,0,13,0.8757903122701735,0,111.41190885582974,2.63
1,,0.0,0.0,16.178954463003187,1,,0,,0,2,1,0,202.14,1,6.805737109070617,0,,27.282694912264283,0.033182947143795,-11.645423016221184,0,6.0,,0,1,0,0,0.4808303885503841,0,386.2170026031236,0.5078535990288049,0,128.17,1,29.1,0,13,0.859999563218155,0,,2.88
2,,0.0,0.0,15.488152566630044,2,,0,,1,3,1,0,195.82,1,6.398578343043645,0,,16.638718018366784,0.0296517445236834,-13.22107907766412,0,4.0,,0,1,0,0,0.4828520954348051,1,374.39293772710914,0.5010310823904872,3,126.16,1,29.1,0,13,0.9582739106695084,2,,2.87
3,,0.0,0.0,15.945792965693858,2,,0,,1,3,1,0,195.58,1,6.565329147400505,0,,20.164803956033914,0.0326247528294922,-12.411147886626113,0,4.0,,0,1,0,0,0.6619857997173412,1,380.7788516391349,0.50585224041505,3,126.16,1,29.1,0,13,0.7543356260536737,1,,2.92
4,103.61050262439656,2.0,0.2857142857142857,16.47288569623169,2,117.19209613828556,0,4.245568406225269,1,3,0,0,207.02,1,7.112882414092715,0,2.0464016225144363e-06,11.184997724580647,0.0307486096621596,-24.041908046522217,0,4.0,138.26247289310174,0,1,0,0,0.5686488606279326,1,315.3506123571293,0.4938852929020028,3,162.14,1,60.47259247721406,0,13,0.8917720547342379,1,111.87620414509158,2.37
5,178.38904006428888,2.0,0.2857142857142857,16.751082185570393,2,134.6200472486615,0,5.646542896886273,1,3,0,0,206.1,1,7.182593075064716,0,172.1344503338609,13.42199726949678,0.0312537988410824,-23.19550574153344,0,4.0,131.59326334524167,0,1,0,0,0.5092653146118479,1,315.52335078887245,0.3993679124901231,3,162.14,1,63.64649279371132,0,13,0.8918694566760227,2,171.0495963794899,2.88
6,,0.0,0.0,15.254802996841155,1,,0,,0,2,1,0,171.81,1,5.791747265071259,0,,21.742879230255003,0.0347973760625621,-13.36263793066799,0,5.0,,0,1,0,0,0.4735359524552176,0,346.099749372459,0.5135142852675479,0,100.12,1,29.1,0,11,0.9261913075297316,0,,2.26
7,,1.0,0.1666666666666666,16.376176513976084,1,,0,,0,2,1,0,192.87,1,6.58249358735881,0,,21.139894117148376,0.0319990285780524,-18.235160264438463,0,5.0,,0,1,0,0,0.4475335401801365,0,339.3300350997094,0.4090477991405749,0,132.13,1,42.20452874971569,0,12,0.8696031334882842,0,,1.88
8,,1.0,0.3333333333333333,17.81613507483048,1,,0,,0,2,1,0,198.14,1,7.325462733049752,0,,10.439979749174524,0.0296496016271978,-22.541757407794844,0,5.0,,0,1,0,0,0.6435379717816732,0,316.2454746213596,0.2483701142269038,0,150.12,1,60.56564613898552,0,12,0.9487117122533276,0,,2.19
9,,1.0,0.5,17.77723217872871,1,,0,,0,2,0,0,203.38,1,7.375458070608578,0,,0.173454623770158,0.0222630270540219,-25.30222225492349,0,5.0,,0,1,0,0,0.7539504817986086,0,392.43018029579554,0.5912242784251608,0,168.12,1,77.97490238329513,0,12,0.8376223997292591,0,,2.51
10,169.4421852352424,2.0,0.5,17.198535213955942,1,129.182435860883,0,1.7031791658034563,0,2,0,0,203.88,1,7.407893301981969,0,179.99993918470847,0.8646745943733579,0.0282954279751068,-27.053688208613515,0,5.0,113.8216038280216,0,1,0,0,0.4941620477744243,0,396.41243364496336,0.2146938248541984,0,168.12,1,79.0032079858139,0,12,0.8450517584510517,2,143.01822160227374,3.02
11,132.56958498799258,2.0,0.5,16.517448011277725,1,132.59532826290342,0,5.273238772689302,0,2,0,0,204.39,1,7.104608503432769,0,6.618749844120114e-05,0.5188047566240147,0.0242967882356882,-27.946857841591584,0,5.0,146.72986203383056,0,1,0,0,0.4259355585954678,0,388.8426415148809,0.8473809353128332,0,168.12,1,78.46841887880335,0,12,0.8820412346293967,1,146.1817450920472,2.72
12,169.81613504538947,2.0,0.3333333333333333,16.97460069818347,1,129.16466682169258,0,5.055230833567594,0,2,1,0,198.57,1,7.129477019304094,0,179.70720582668127,11.090286494010757,0.0354019375741469,-23.64943647600296,0,5.0,113.94577024793278,0,1,0,0,0.5770452970519552,0,313.0126332046233,0.2663900871517844,0,150.12,1,61.118526117766685,0,12,0.7615593824177301,2,143.36540578247286,2.39
