,Smiles,non-F Smiles,model_name,train_r^2,train_mse,train_mae,oos_r^2,oos_mse,oos_mae
0,O=C(Nc1ccccc1)C1CCCCC1,O=C(Nc1ccccc1)C1CCCCC1,1_O=C(Nc1ccccc1)C1CCCCC1_O=C(Nc1ccccc1)C1CCCCC1,0.879,0.037,0.154,0.0,0.0,0.001
1,O=C(Nc1ccccc1)[C@H]1C[C@@H]2C[C@@H]2C1,O=C(Nc1ccccc1)[C@H]1C[C@@H]2C[C@@H]2C1,2_O=C(Nc1ccccc1)[C@H]1C[C@@H]2C[C@@H]2C1_O=C(Nc1ccccc1)[C@H]1C[C@@H]2C[C@@H]2C1,0.506,0.152,0.304,0.0,0.0,0.0
2,O=C(Nc1ccccc1)[C@@H]1C[C@@H]2C[C@@H]2C1,O=C(Nc1ccccc1)[C@@H]1C[C@@H]2C[C@@H]2C1,3_O=C(Nc1ccccc1)[C@@H]1C[C@@H]2C[C@@H]2C1_O=C(Nc1ccccc1)[C@@H]1C[C@@H]2C[C@@H]2C1,0.867,0.041,0.164,0.0,0.004,0.059
3,O=C(Nc1ccccc1)[C@H]1C[C@@H]2[C@H](C1)C2(F)F,O=C(Nc1ccccc1)[C@@H]1C[C@@H]2C[C@@H]2C1,4_O=C(Nc1ccccc1)[C@H]1C[C@@H]2[C@H](C1)C2(F)F_O=C(Nc1ccccc1)[C@@H]1C[C@@H]2C[C@@H]2C1,0.842,0.049,0.174,0.504,0.037,0.179
4,O=C(Nc1ccccc1)[C@@H]1C[C@@H]2[C@H](C1)C2(F)F,O=C(Nc1ccccc1)[C@H]1C[C@@H]2C[C@@H]2C1,5_O=C(Nc1ccccc1)[C@@H]1C[C@@H]2[C@H](C1)C2(F)F_O=C(Nc1ccccc1)[C@H]1C[C@@H]2C[C@@H]2C1,0.824,0.054,0.183,-181.001,0.005,0.059
5,O=C(Nc1ccccc1)C1CCC1,O=C(Nc1ccccc1)C1CCC1,6_O=C(Nc1ccccc1)C1CCC1_O=C(Nc1ccccc1)C1CCC1,0.768,0.073,0.222,0.0,0.0,0.005
6,O=C(Nc1ccccc1)C1(CF)CCC1,O=C(Nc1ccccc1)C1CCC1,7_O=C(Nc1ccccc1)C1(CF)CCC1_O=C(Nc1ccccc1)C1CCC1,0.829,0.054,0.175,0.858,0.005,0.046
7,O=C(Nc1ccccc1)C1(C(F)F)CCC1,O=C(Nc1ccccc1)C1CCC1,8_O=C(Nc1ccccc1)C1(C(F)F)CCC1_O=C(Nc1ccccc1)C1CCC1,0.878,0.038,0.148,0.74,0.0,0.017
8,O=C(Nc1ccccc1)C1(C(F)(F)F)CCC1,O=C(Nc1ccccc1)C1CCC1,9_O=C(Nc1ccccc1)C1(C(F)(F)F)CCC1_O=C(Nc1ccccc1)C1CCC1,0.806,0.061,0.196,0.952,0.001,0.023
9,O=C(Nc1ccccc1)[C@H]1C[C@H](C(F)(F)F)C1,O=C(Nc1ccccc1)C1CCC1,10_O=C(Nc1ccccc1)[C@H]1C[C@H](C(F)(F)F)C1_O=C(Nc1ccccc1)C1CCC1,0.774,0.07,0.208,0.941,0.008,0.087
10,O=C(Nc1ccccc1)[C@H]1C[C@@H](C(F)(F)F)C1,O=C(Nc1ccccc1)C1CCC1,11_O=C(Nc1ccccc1)[C@H]1C[C@@H](C(F)(F)F)C1_O=C(Nc1ccccc1)C1CCC1,0.792,0.065,0.195,0.921,0.004,0.056
11,O=C(Nc1ccccc1)[C@H]1C[C@H](C(F)F)C1,O=C(Nc1ccccc1)C1CCC1,12_O=C(Nc1ccccc1)[C@H]1C[C@H](C(F)F)C1_O=C(Nc1ccccc1)C1CCC1,0.876,0.039,0.157,0.218,0.003,0.053
12,O=C(Nc1ccccc1)[C@H]1C[C@@H](C(F)F)C1,O=C(Nc1ccccc1)C1CCC1,13_O=C(Nc1ccccc1)[C@H]1C[C@@H](C(F)F)C1_O=C(Nc1ccccc1)C1CCC1,0.821,0.057,0.192,0.174,0.0,0.013
13,O=C(Nc1ccccc1)[C@H]1C[C@H](CF)C1,O=C(Nc1ccccc1)C1CCC1,14_O=C(Nc1ccccc1)[C@H]1C[C@H](CF)C1_O=C(Nc1ccccc1)C1CCC1,0.717,0.089,0.228,0.407,0.002,0.041
14,O=C(Nc1ccccc1)[C@H]1C[C@@H](CF)C1,O=C(Nc1ccccc1)C1CCC1,15_O=C(Nc1ccccc1)[C@H]1C[C@@H](CF)C1_O=C(Nc1ccccc1)C1CCC1,0.855,0.046,0.168,0.999,0.0,0.004
15,O=C(Nc1ccccc1)C1CC(F)(F)C1,O=C(Nc1ccccc1)C1CCC1,18_O=C(Nc1ccccc1)C1CC(F)(F)C1_O=C(Nc1ccccc1)C1CCC1,0.86,0.044,0.16,0.0,0.0,0.003
16,O=C(Nc1ccccc1)C1CCCC1(F)F,O=C(Nc1ccccc1)C1CCCC1,19_O=C(Nc1ccccc1)C1CCCC1(F)F_O=C(Nc1ccccc1)C1CCCC1,0.862,0.043,0.169,0.986,0.001,0.023
17,O=C(Nc1ccccc1)C1CCC(F)(F)C1,O=C(Nc1ccccc1)C1CCCC1,20_O=C(Nc1ccccc1)C1CCC(F)(F)C1_O=C(Nc1ccccc1)C1CCCC1,0.874,0.039,0.149,0.97,0.0,0.013
18,O=C(Nc1ccccc1)C1CCCCC1(F)F,O=C(Nc1ccccc1)C1CCCCC1,21_O=C(Nc1ccccc1)C1CCCCC1(F)F_O=C(Nc1ccccc1)C1CCCCC1,0.911,0.027,0.123,0.998,0.0,0.006
19,O=C(Nc1ccccc1)C1CCCCCC1(F)F,O=C(Nc1ccccc1)C1CCCCCC1,23_O=C(Nc1ccccc1)C1CCCCCC1(F)F_O=C(Nc1ccccc1)C1CCCCCC1,0.928,0.022,0.119,0.998,0.0,0.007
20,O=C(Nc1ccccc1)C1CCCCC(F)(F)C1,O=C(Nc1ccccc1)C1CCCCCC1,24_O=C(Nc1ccccc1)C1CCCCC(F)(F)C1_O=C(Nc1ccccc1)C1CCCCCC1,0.88,0.036,0.146,0.944,0.001,0.022
21,O=C(Nc1ccccc1)C1CCCC(F)(F)CC1,O=C(Nc1ccccc1)C1CCCCCC1,25_O=C(Nc1ccccc1)C1CCCC(F)(F)CC1_O=C(Nc1ccccc1)C1CCCCCC1,0.862,0.041,0.155,0.998,0.0,0.006
22,CCC(F)(F)CC(=O)Nc1ccccc1,CCCCC(=O)Nc1ccccc1,26_CCC(F)(F)CC(=O)Nc1ccccc1_CCCCC(=O)Nc1ccccc1,0.803,0.062,0.197,-2.819,0.001,0.026
23,O=C(CCCC(F)F)Nc1ccccc1,CCCC(=O)Nc1ccccc1,28_O=C(CCCC(F)F)Nc1ccccc1_CCCC(=O)Nc1ccccc1,0.857,0.045,0.161,,0.0,0.003
24,O=C(Nc1ccccc1)C1CC1,O=C(Nc1ccccc1)C1CC1,29_O=C(Nc1ccccc1)C1CC1_O=C(Nc1ccccc1)C1CC1,0.765,0.073,0.21,0.0,0.0,0.003
25,O=C(Nc1ccccc1)C1CCC1,O=C(Nc1ccccc1)C1CCC1,30_O=C(Nc1ccccc1)C1CCC1_O=C(Nc1ccccc1)C1CCC1,0.864,0.043,0.157,0.0,0.0,0.001
26,O=C(Nc1ccccc1)C1CCCC1,O=C(Nc1ccccc1)C1CCCC1,31_O=C(Nc1ccccc1)C1CCCC1_O=C(Nc1ccccc1)C1CCCC1,0.878,0.038,0.146,0.0,0.0,0.003
27,O=C(Nc1ccccc1)C1CCCCCC1,O=C(Nc1ccccc1)C1CCCCCC1,32_O=C(Nc1ccccc1)C1CCCCCC1_O=C(Nc1ccccc1)C1CCCCCC1,0.746,0.077,0.22,0.0,0.001,0.024
28,CCCCC(=O)Nc1ccccc1,CCCCC(=O)Nc1ccccc1,33_CCCCC(=O)Nc1ccccc1_CCCCC(=O)Nc1ccccc1,0.824,0.055,0.177,0.0,0.001,0.026
29,O=C(Nc1ccccc1)C12CC(C(F)(F)F)(CO1)C2,O=C(Nc1ccccc1)C12CC(CO1)C2,37_O=C(Nc1ccccc1)C12CC(C(F)(F)F)(CO1)C2_O=C(Nc1ccccc1)C12CC(CO1)C2,0.865,0.042,0.163,0.978,0.001,0.038
30,O=C(Nc1ccccc1)C12CC(CO1)C2,O=C(Nc1ccccc1)C12CC(CO1)C2,39_O=C(Nc1ccccc1)C12CC(CO1)C2_O=C(Nc1ccccc1)C12CC(CO1)C2,0.679,0.1,0.256,0.0,0.0,0.014
31,O=C(Nc1ccccc1)c1ccccc1,O=C(Nc1ccccc1)c1ccccc1,40_O=C(Nc1ccccc1)c1ccccc1_O=C(Nc1ccccc1)c1ccccc1,0.421,0.18,0.34,0.0,0.527,0.726
32,O=C(Nc1ccccc1)[C@@H]1CC[C@H]1C(F)(F)F,O=C(Nc1ccccc1)C1CCC1,41_O=C(Nc1ccccc1)[C@@H]1CC[C@H]1C(F)(F)F_O=C(Nc1ccccc1)C1CCC1,0.769,0.072,0.213,0.964,0.003,0.051
