,model_name,loss,r^2,mse,mae,true_values,pred_values,train_r^2,train_mse,train_mae,train_true_values,train_pred_values
0,54_N[C@@H]1C[C@@H]2[C@H](C1)C2(F)F_N[C@H]1C[C@@H]2C[C@@H]2C1,0.07601997256278992,0.607,0.076,0.208,"[8.890000343322754, 9.770000457763672]","[8.501059532165527, 9.797658920288086]",0.984,0.097,0.253,"[4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[4.346854209899902, 4.346854209899902, 3.393486499786377, 6.282497406005859, 6.517539978027344, 6.525769233703613, 7.635442733764648, 7.446802139282227, 7.934805870056152, 7.765803337097168, 8.757781982421875, 7.855381965637207, 8.44384765625, 9.381545066833496, 9.749101638793945, 9.721304893493652, 9.570157051086426, 9.95807933807373, 10.235554695129395, 10.306624412536621, 10.813424110412598, 10.792046546936035, 3.6232805252075195, 3.2608635425567627, 4.292850494384766, 4.335097312927246, 4.399298191070557, 4.155675888061523, 4.595036506652832]"
1,55_N[C@H]1C[C@@H]2[C@H](C1)C2(F)F_N[C@@H]1C[C@@H]2C[C@@H]2C1,0.09157681465148926,0.481,0.092,0.237,"[8.949999809265137, 9.789999961853027]","[8.524721145629883, 9.742128372192383]",0.983,0.102,0.261,"[4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[4.349104881286621, 4.349104881286621, 3.3865084648132324, 6.306039333343506, 6.546660900115967, 6.5584611892700195, 7.653981685638428, 7.437013149261475, 7.943718433380127, 7.805462837219238, 8.77979850769043, 7.8557868003845215, 8.413339614868164, 9.354660987854004, 9.769803047180176, 9.746805191040039, 9.596758842468262, 9.946935653686523, 10.249677658081055, 10.26714038848877, 10.812397956848145, 10.785696983337402, 3.5981791019439697, 3.2978241443634033, 4.2881364822387695, 4.348151206970215, 4.3860673904418945, 4.131833553314209, 4.602797031402588]"
2,56_NC1CCC(F)(F)CC1_NC1CCCCC1,0.11269962787628174,0.647,0.113,0.334,"[9.449999809265137, 10.579999923706055]","[9.084568977355957, 10.27691650390625]",0.987,0.078,0.225,"[4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[4.334716796875, 4.334716796875, 3.41225266456604, 6.309937477111816, 6.248490333557129, 6.240120887756348, 7.414705753326416, 7.492074966430664, 7.841175556182861, 7.798417568206787, 8.761617660522461, 8.054018020629883, 8.541010856628418, 9.378576278686523, 9.759844779968262, 9.728979110717773, 9.536665916442871, 9.957555770874023, 10.2501859664917, 10.299467086791992, 10.86390495300293, 10.844651222229004, 3.654461622238159, 3.2627992630004883, 4.292488098144531, 4.319727897644043, 4.4015936851501465, 4.186446666717529, 4.657247543334961]"
3,57_NC1CCCCC1_NC1CCCCC1,0.08289572596549988,,0.083,0.288,[10.579999923706055],[10.292083740234375],0.983,0.107,0.262,"[4.349999904632568, 4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[3.9762346744537354, 4.3369951248168945, 4.3369951248168945, 3.417365550994873, 6.251951217651367, 6.5938544273376465, 6.603739261627197, 7.65798282623291, 7.339378833770752, 7.848476409912109, 7.750052452087402, 8.820734024047852, 7.84214448928833, 8.371971130371094, 9.375059127807617, 9.70079231262207, 9.667094230651855, 9.549861907958984, 9.92910099029541, 10.197477340698242, 10.231245994567871, 10.798396110534668, 10.777359008789062, 3.6217832565307617, 3.3058314323425293, 4.280677318572998, 4.343689918518066, 4.393267631530762, 4.0753703117370605, 4.593972206115723]"
4,58_N[C@@H]1C[C@@H]2C[C@@H]2C1_N[C@@H]1C[C@@H]2C[C@@H]2C1,0.030310118570923805,,0.03,0.174,[9.789999961853027],[9.615901947021484],0.96,0.247,0.381,"[4.349999904632568, 4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[3.9827029705047607, 4.18040657043457, 4.18040657043457, 3.494199514389038, 6.388829708099365, 7.064794540405273, 7.073705673217773, 7.818680763244629, 7.206086158752441, 8.148331642150879, 7.861248970031738, 9.033679008483887, 7.453497886657715, 8.170791625976562, 9.199831008911133, 9.751180648803711, 9.73682689666748, 9.588528633117676, 9.695392608642578, 10.46859359741211, 10.248761177062988, 10.374256134033203, 10.333150863647461, 3.705855369567871, 3.41572904586792, 4.244306564331055, 4.284304141998291, 4.294529438018799, 3.960503339767456, 4.439480781555176]"
5,59_N[C@H]1C[C@@H]2C[C@@H]2C1_N[C@H]1C[C@@H]2C[C@@H]2C1,0.03665241599082947,,0.037,0.191,[9.770000457763672],[9.961448669433594],0.988,0.076,0.227,"[4.349999904632568, 4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[3.994868278503418, 4.373870372772217, 4.373870372772217, 3.315095901489258, 6.347287654876709, 6.418511390686035, 6.430152416229248, 7.504866123199463, 7.468765735626221, 7.921591281890869, 7.8463640213012695, 8.708060264587402, 8.194448471069336, 8.554755210876465, 9.378275871276855, 9.778352737426758, 9.738109588623047, 9.658798217773438, 10.006481170654297, 10.27963638305664, 10.289790153503418, 10.976317405700684, 10.965185165405273, 3.654914379119873, 3.2552926540374756, 4.298166751861572, 4.327374458312988, 4.427183151245117, 4.194742202758789, 4.627512454986572]"
6,60_FC(F)(F)C12CC(CN1)C2_C1NC2CC1C2,0.31924474239349365,0.942,0.319,0.551,"[6.519999980926514, 11.229999542236328]","[6.091599464416504, 10.555490493774414]",0.984,0.096,0.238,"[4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[4.305522918701172, 4.305522918701172, 3.3510780334472656, 6.124080657958984, 6.298591613769531, 6.31096076965332, 7.451212406158447, 7.322335720062256, 7.629715442657471, 7.651980876922607, 8.69279670715332, 7.845309257507324, 8.326642036437988, 9.228914260864258, 9.566787719726562, 9.521352767944336, 9.343890190124512, 9.865947723388672, 9.947492599487305, 10.237481117248535, 10.837324142456055, 10.812573432922363, 3.591259002685547, 3.1480093002319336, 4.226637363433838, 4.289584159851074, 4.3341264724731445, 4.0608344078063965, 4.62590217590332]"
7,62_C1NC2CC1C2_C1NC2CC1C2,0.335303395986557,,0.335,0.579,[11.229999542236328],[10.650945663452148],0.983,0.107,0.259,"[4.349999904632568, 4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[3.9704079627990723, 4.299976348876953, 4.299976348876953, 3.360933303833008, 6.296365737915039, 6.46173095703125, 6.474736213684082, 7.611871719360352, 7.3863935470581055, 7.726131439208984, 7.70957088470459, 8.762569427490234, 7.815068244934082, 8.39975357055664, 9.426652908325195, 9.680830001831055, 9.641748428344727, 9.519052505493164, 9.877650260925293, 10.185766220092773, 10.242350578308105, 10.741851806640625, 10.717425346374512, 3.586552143096924, 3.256988525390625, 4.27180814743042, 4.31621789932251, 4.352675437927246, 4.099966049194336, 4.600081443786621]"
8,63_C1CCNC1_C1CCNC1,0.5241608023643494,,0.524,0.724,[11.270000457763672],[10.546010971069336],0.946,0.328,0.433,"[4.349999904632568, 4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[3.9716100692749023, 4.143435001373291, 4.143435001373291, 3.5958356857299805, 6.5633015632629395, 7.207057952880859, 7.2161688804626465, 7.946435451507568, 7.161545753479004, 8.282880783081055, 8.006678581237793, 9.115612983703613, 7.081478118896484, 8.265169143676758, 9.195220947265625, 9.723845481872559, 9.708123207092285, 9.57922649383545, 9.654465675354004, 10.39372444152832, 10.2528715133667, 10.165593147277832, 10.115753173828125, 3.7726988792419434, 3.5177040100097656, 4.248007297515869, 4.262699604034424, 4.264902114868164, 3.989360809326172, 4.4210710525512695]"
9,64_CC12CC(CN1)C2_CC12CC(CN1)C2,0.42256274819374084,,0.423,0.65,[11.279999732971191],[10.629951477050781],0.988,0.074,0.219,"[4.349999904632568, 4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[4.021639823913574, 4.40073299407959, 4.40073299407959, 3.3798069953918457, 6.30350399017334, 6.212961196899414, 6.23267936706543, 7.440102577209473, 7.488984107971191, 7.908891677856445, 7.709277153015137, 8.700440406799316, 8.049673080444336, 8.557122230529785, 9.330018043518066, 9.718499183654785, 9.670228958129883, 9.582365989685059, 9.989015579223633, 10.217058181762695, 10.360740661621094, 10.726370811462402, 10.694730758666992, 3.728097915649414, 3.2426249980926514, 4.317395210266113, 4.312963962554932, 4.4174885749816895, 4.264411926269531, 4.58839225769043]"
